zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.01,1,1,0,0,0,0,0,0
0.02,1,1,0,0,0,0,0,0
0.03,1,1,0,0,0,0,0,0
0.04,1,1,0,0,0,0,0,0
0.04,0.99,0.997358869467138,0.00254908077464099,0.000149648610668636,-2.39309685376476e-05,-3.01747100012828e-05,-9.70625340315483e-07,7.94882624076504e-09
0.05,1,1,0,0,0,0,0,0
0.06,1,1,0,0,0,0,0,0
0.07,1,1,0,0,0,0,0,0
0.1,1,1.00000091860961,8.31302596760876e-07,6.56907953151583e-07,3.96803193135127e-07,5.02817444262247e-08,-3.81558442784519e-07,0
0.11,1,1.00000091888849,8.3158743581753e-07,6.56936825119846e-07,3.96029273776346e-07,4.99595503452022e-08,-3.81054919803213e-07,0
0.12,1,1.00000091896614,8.31527767704869e-07,6.57022212943303e-07,3.96036360200341e-07,4.96739451537129e-08,-3.80879777050262e-07,0
0.12,0.99,0.999703757384581,-0.00190624720946464,0.00278117447911302,-0.00052942129254822,4.38761728531442e-06,-5.1128438135265e-05,0
0.12,0.98,0.994313932304311,0.00467046429983877,0.00213885441747826,-0.00136609194904389,0.000283602016130635,-3.81868069245288e-05,0
0.13,1,1.00000091901467,8.31519651971999e-07,6.5699311158662e-07,3.9607544890244e-07,4.95494825375475e-08,-3.80805713858961e-07,0
0.13,0.99,0.999701503355684,-0.00127100283547456,0.0014945606774356,0.000334415894705126,-0.000234564177024989,-2.23903752729981e-05,0
0.13,0.97,0.993959572545558,0.00411698547019002,0.00289797316132113,-0.00129908467174746,0.000414459206901754,-8.727806627156e-05,1.87384426335531e-21
0.14,1,1.00000091893344,8.31524519012229e-07,6.57031986408252e-07,3.96013430999822e-07,4.97988908289431e-08,-3.80955612116432e-07,0
0.14,0.98,0.99526444141416,0.00413004679235371,0.000721217130226885,1.38780010431861e-05,-0.000136511585108718,9.50254217409837e-06,1.94719001604319e-21
0.14,0.97,0.99173323228334,0.00910087801909283,-0.0019302681283765,0.00176017130223093,-0.000780336986697948,0.000118951160138693,1.66150370246047e-21
0.14,0.96,0.986833840175805,0.0144787515700131,-0.00174477908977289,0.000940641052252197,-0.000666364794300771,0.000160593750963838,0
0.14,0.95,0.984054257567512,0.017463535535688,-0.00194885204840233,0.000588924253739913,-0.000136188958761184,-1.89368988885977e-05,3.41713289933689e-21
0.15,1,1.00000091896582,8.31528627349644e-07,6.57020782752345e-07,3.96037876621649e-07,4.96722078166313e-08,-3.80878660364844e-07,0
0.15,0.98,0.993965973137186,0.00704280824913422,-0.00198299821499323,0.00145099283987176,-0.000493525815841427,1.93240996356335e-05,1.49861919852187e-21
0.16,1,1.00000091774846,8.30871298061482e-07,6.56972807324043e-07,3.96696963804316e-07,5.07835212569312e-08,-3.80726065778558e-07,0
0.16,0.99,0.999618498228441,-0.00086224482529183,0.000968089554780634,0.000359760378254773,8.78461937931296e-05,-0.000169426990032183,0
0.16,0.97,0.992030956073667,0.00886901130231168,-0.00215755818576249,0.00187969069245244,-0.000693909328137286,7.44370940133378e-05,1.35982572540932e-21
0.16,0.96,0.987141920615951,0.014046143665397,-0.0018065043339169,0.00133528621439403,-0.0009415133339015,0.000227349835853204,0
0.16,0.94,0.980505104040223,0.0213429443941763,-0.00220175926141112,0.000531008458991578,-0.000232273848137538,5.77742708043198e-05,3.11738741676058e-21
0.17,1,1.00000091780337,8.30796995631463e-07,6.57013458041204e-07,3.96738638165271e-07,5.06536816788568e-08,-3.80659165153451e-07,0
0.17,0.98,0.995317273124902,0.00372001174477478,0.00102480211692665,0.000659155067471375,-0.00103694826072396,0.00031828049463394,0
0.17,0.95,0.982245738441027,0.0199547213673842,-0.0027557166074877,0.000838040993668619,-0.000197785796124817,-8.22589554869309e-05,0
0.18,1,1.00000091780329,8.30797143039715e-07,6.5701318834634e-07,3.96738920839399e-07,5.06533842845963e-08,-3.80658950939758e-07,0
0.18,0.98,0.992386410417399,0.00841823402578533,-0.00115491747954753,0.00150137743918734,-0.00168402757753433,0.000535497459963033,0
0.18,0.97,0.987658904045076,0.0148302221081459,-0.00278643494389064,0.000662232782316793,-0.000568286491710266,0.000205990136217433,0
0.18,0.96,0.987404384838396,0.0142116970048537,-0.00269602708880174,0.00173920212285272,-0.000784727395013278,0.000128153189165334,6.62775373174076e-22
0.18,0.94,0.981192844381845,0.0198983198178862,-0.00119566019001269,2.67824314343006e-05,0.000242714838444011,-0.000162203252175567,0
0.19,1,1.00000091780323,8.30797301381648e-07,6.57012917977966e-07,3.96739209765473e-07,5.06530450523146e-08,-3.80658724510349e-07,0
0.19,0.98,0.992822006020084,0.00612937677690041,0.00317556125211545,-0.00283083023206929,0.000822932478969518,-0.000116472020784076,0
0.19,0.97,0.993072657117836,0.006250955296112,0.00140667036172024,-0.00162191383609335,0.00126031257730113,-0.000366053871121761,1.15951699996495e-21
0.19,0.94,0.983565714642313,0.0159629693634567,0.00092133563818891,-0.000602459987169111,0.000194697435786533,-3.94590439811143e-05,3.22343948635761e-21
