zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.01,0.48,1.00000247234585,1.55252941726655e-07,-0.0295280115921763,false
0.01,0.49,1.00000247234853,-1.15675404469579e-07,-0.012046623993116,false
0.01,0.5,1.00000247230409,4.3782132600377e-06,-1.28684928255853e-20,true
0.01,0.51,1.00000247234686,5.38640447251841e-08,-0.0126777142975052,false
0.01,0.52,1.00000247235358,-6.2634185517209e-07,-0.0329725980342351,false
0.01,0.53,1.00000247234168,5.77403866350005e-07,-0.0552284937201254,false
0.01,0.54,1.00000247233838,9.1145460428093e-07,-0.0789456767021214,false
0.01,0.55,1.00000247233349,1.40580203007972e-06,-0.104031732755476,false
0.01,0.56,1.00000247236023,-1.29787368628648e-06,-0.130470905098971,false
0.01,0.57,1.00000247235593,-8.63256965848576e-07,-0.158269637252193,false
0.01,0.58,1.00000247232561,2.20275471378726e-06,-0.187442390757851,false
0.01,0.59,1.0000024723642,-1.70021884553169e-06,-0.218009831611089,false
0.01,0.6,1.00000247232333,2.43286908520186e-06,-0.249991436794895,false
0.01,0.61,1.0000024723657,-1.85125325726832e-06,-0.28341093960104,false
0.01,0.62,1.00000247235214,-4.80698867936961e-07,-0.318290346852359,false
0.01,0.63,1.00000247232098,2.67079517292126e-06,-0.35465085141031,false
0.01,0.64,1.0000024723398,7.6707647418261e-07,-0.392520161890643,false
0.01,0.65,1.00000247236374,-1.65331660803335e-06,-0.43191763524936,false
0.01,0.66,1.00000247237318,-2.60761011862292e-06,-0.472868008323206,false
0.01,0.67,1.00000247235406,-6.74532933978029e-07,-0.515398125505004,false
0.01,0.68,1.00000247233707,1.04380973406781e-06,-0.559527644427375,false
0.01,0.69,1.00000247232171,2.59675968148906e-06,-0.605280520350052,false
0.01,0.7,1.00000247232194,2.57368041916928e-06,-0.652683633348427,false
0.01,0.71,1.00000247233478,1.27463989495212e-06,-0.701761002541775,false
0.01,0.72,1.00000247234652,8.76447696508551e-08,-0.752533985407083,false
0.01,0.73,1.00000247235712,-9.84166392162776e-07,-0.805026545649463,false
0.01,0.74,1.00000247236692,-1.9750306909846e-06,-0.859262709256795,false
0.01,0.75,1.00000247237601,-2.89383669300557e-06,-0.915266438531088,false
0.01,0.76,1.00000247237686,-2.9804618813477e-06,-0.973063972633974,false
