zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,power,test_FLAG
0.01,0.01,-1.00139599317081,-3.02989839934611e-07,0.0336150965584059,1.02569055124066e-06,-0.0322228228568199,-0.0081038386135617,false
0.01,0.02,1.00177046671321,1.87239989619339e-06,-0.0337735507225189,6.33066351316841e-07,0.0320067874449002,-0.0161717347585306,false
0.01,0.03,1.00234561810103,2.1884685017868e-06,-0.0346544917496539,-1.36941475294632e-07,0.0323125778318481,-0.0241749713919005,false
0.01,0.04,1.00315720076332,-2.75291806534804e-06,-0.036023574316383,-1.2580389737434e-07,0.0328700837858117,-0.0320829189670499,false
0.01,0.05,-1.00423274456432,1.45717736784685e-06,0.0374549554265204,1.319377952291e-06,-0.0332259139318138,-0.0398620547228198,false
0.01,0.06,-1.00562537350548,-2.36004580605305e-07,0.0397223879865412,-1.72570761577826e-06,-0.0341007244737501,-0.0474768810363386,false
0.01,0.07,-1.00738826272829,2.26544094029866e-06,0.0425029539883909,4.73672981108599e-07,-0.0351184067530216,-0.0548866832556545,false
0.01,0.08,-1.00948162264218,7.22541189792238e-06,0.0451634616531109,-1.90697755527437e-06,-0.0356855354881785,-0.0620407495467157,false
0.01,0.09,4.85135006257572e-06,7.13045688548688e-06,1.64135862328816e-05,4.8949717644577e-05,0.999944471146758,-0.0777659143144552,false
0.01,0.1,-0.000117856746836887,-0.000172461094877707,4.19322145622945e-05,-0.000687149131171466,0.999406549175484,-2.34174111133885e-18,true
0.01,0.11,0.0305324332273366,0.0398717707855661,-0.00567645129663208,0.631818543889683,0.38181080790558,-0.0772260765955251,false
0.01,0.12,1.31557723305673e-06,4.36259303871031e-07,1.03401682900175e-05,1.00000183874681,-1.01065414715802e-05,-0.0295249046074255,false
0.01,0.13,-5.89459141195287e-08,2.06584612707338e-06,1.55313211429237e-05,0.999979676382996,9.97494983353964e-06,-0.0329673352276287,false
0.01,0.14,0.0811072629224389,-0.0238955312578765,0.61991911590055,0.433157313116561,-0.00287994582131364,-0.103116406050815,false
0.01,0.15,2.60424983009702e-05,-1.39155382659667e-05,0.99994248103904,-8.74286763123436e-05,-1.09887935063437e-05,-0.0777856378664818,false
0.01,0.16,3.59328185744954e-07,1.32430969859985e-07,1.00002177185456,-4.98552460819997e-07,1.20253222120594e-07,-0.0295277659635581,false
0.01,0.17,0.000196727255240233,-0.00067879293291043,0.99936905911002,-9.78706615511357e-05,8.60586232424974e-05,-0.0127691847791841,false
0.01,0.18,-1.6103154481138e-06,1.14791256913716e-05,1.00001129464473,3.0136298233683e-06,1.95576525864362e-06,-0.0789459322261345,false
0.01,0.19,-0.19946530927073,0.812383108682341,0.383750992826852,-0.0519079302645067,0.0644960242910642,-0.108653502225954,false
0.01,0.2,-0.238190580727898,0.87822104787793,0.320310368911443,-0.0269134229428021,0.0588295563637649,-0.102631481766188,false
0.01,0.21,-0.261238570408239,0.926032804654182,0.272102114903549,-0.0115261398659447,0.0499960334123868,-0.0923469699532023,false
0.01,0.22,-0.217812271822407,0.949068176457818,0.220796189377293,-0.00199804291386274,0.0355502665661676,-0.0909869941867209,false
0.01,0.23,-0.000258309690731592,0.994652003030661,0.00904384305059427,-0.00160808849287583,0.00186991297919432,-0.0624119201582344,false
0.01,0.24,0.00146214403535246,0.997383618054288,0.00309279765472509,0.00021397157250278,0.000689618073123593,-0.0294518002919597,false
0.01,0.25,0.0114352703169,0.991919811675071,0.00409402697351528,-1.39117135380142e-05,0.000632344455540231,0,true
0.01,0.26,0.00198175403958208,0.997915543640459,0.00175334436775954,-8.91040268762213e-05,0.000440442429891975,-0.032901685734242,false
0.01,0.27,-0.00542978076397575,0.993247128207023,-0.00646114875027138,-0.00108035913276593,-0.0016307023352208,-0.0786724822233679,false
0.01,0.28,-0.00864428346049509,0.990091876532106,-0.00885025177073949,-0.00159894225034653,-0.00233703853589664,-0.129328583342658,false
0.01,0.29,0.0127155156584602,0.987109785825861,0.010202669145969,-0.00181335371183148,0.00287270922025738,-0.184623550021137,false
0.01,0.3,-1.13756295382682,6.69106161398279e-05,0.152681495632002,-1.49613845998991e-05,0.014467503880993,-0.0601085785319255,false
0.01,0.31,-0.071563014486462,0.946102920449267,-0.0281558606836153,0.00166514286337902,-0.00801047861702956,-0.308912711252526,false
0.01,0.32,1.13037343196076,-3.91792445127999e-05,-0.133438735588088,8.94505446964027e-06,-0.0171503832610016,-0.0487619984272399,false
0.01,0.33,-1.12806485919358,-8.3923286707146e-06,0.12771434868852,2.86720400400391e-06,0.017441733417764,-0.0443708127606389,false
0.01,0.34,-0.172714222327134,0.900733762631686,-0.0144547152392144,0.008502222717219,-0.00740421956278704,-0.502243471525851,false
0.01,0.35,-1.12375857608648,-0.000619050461963588,0.118395014887734,0.000148515312454706,0.0178955382416444,-0.037337765865981,false
0.01,0.36,-1.11953764147843,-3.0055688583437e-05,0.110318710066978,2.00877983397111e-06,0.0176730154803318,-0.0373811216975187,false
0.01,0.37,1.11147728202488,4.70186795916456e-06,-0.0979857547700102,2.9686341321917e-07,-0.01668456325018,-0.0416025763535919,false
0.01,0.38,-1.10189614951237,2.35729066628106e-06,0.0866790286253032,-2.72762347970129e-07,0.0157033350548212,-0.0456896348822596,false
0.01,0.39,-1.0909815502497,9.48199421354018e-06,0.0762641200869675,1.90469042940563e-06,0.0147173393012437,-0.0494748416983998,false
0.01,0.4,1.08047849706105,1.08000407697896e-05,-0.0667464207808407,-1.8434695624599e-07,-0.0137317389595585,-0.0528944515611266,false
0.01,0.41,-1.07071757231299,6.60734040791945e-06,0.0579841975155107,1.17530585658857e-06,0.0127328046888098,-0.0557367722846578,false
0.01,0.42,1.06159972624082,-0.000282286464487523,-0.0499175189617974,-3.36715078959085e-07,-0.0116814125448958,-0.0577686774817376,false
0.01,0.43,1.02484106623706,0.0209629282520999,-0.0204122066587392,0.00176700746302797,-0.00442733086033742,-0.0684502934986885,false
0.01,0.44,1.03458042466148,-0.0194597711023777,-0.0280435560066617,-0.00182630298082234,-0.00653507404201079,-0.0605682184930583,false
0.01,0.45,-1.02816389254971,0.000744599096263635,0.0215810867236864,0.000280625970629298,0.00658113235090836,-0.0547846426300369,false
0.01,0.46,1.0068856327451,1.5389391939351e-06,-0.00481410026625722,-1.96311922133187e-06,-0.0020692780661357,-0.0441841561253685,false
0.01,0.47,1.0048371682487,-1.1262079775018e-05,-0.00321259758402196,5.82104658121516e-05,-0.00162226030633573,-0.0336033034222572,false
0.01,0.48,1.00201726272824,2.1053240413053e-06,-0.00107837708395718,-1.11663777978035e-06,-0.000936490169114094,-0.0218908534794588,false
0.01,0.49,1.0003619706386,-2.94063791187235e-06,0.000178324020451942,1.6501810940853e-06,-0.000537850734272338,-0.0092902796035887,false
0.01,0.5,1.00064114495374,-0.000699386944547202,-0.000957832526153517,0.000139869430809679,0.000319161296322205,0,true
0.01,0.51,-1.00002234319831,4.26504190705649e-06,0.000411313539755661,-1.1053097959158e-06,-0.000391457779263071,-0.00964194800835818,false
0.01,0.52,0.998672693114295,-7.21467021858816e-07,0.000592397607269781,2.27388741198129e-07,0.000737437096694556,-0.0249262230959106,false
0.01,0.53,0.997272612975855,2.43472949596615e-05,0.00162163560925962,-3.6415682747304e-05,0.00110832279818865,-0.0414015288172131,false
0.01,0.54,0.996406248094725,-1.16986567736439e-06,0.00226110420095315,3.75631217681647e-07,0.00133524399682653,-0.0589014047128015,false
0.01,0.55,0.995436125424014,5.23569957471647e-06,0.00296572456977058,-1.69468208162507e-05,0.00160077661243455,-0.0775365612800711,false
0.01,0.56,0.994939345422484,5.18340674472318e-07,0.0033273124743766,-3.19140533629673e-06,0.0017359833861185,-0.097311458263427,false
0.01,0.57,0.993769567544111,-4.21591559923924e-06,0.00415538297315427,6.23657336902653e-06,0.00207772709507588,-0.118066788330689,false
0.01,0.58,0.993083936803219,-1.57022478720848e-05,0.00463894980493443,2.53875011371292e-05,0.00227981191525097,-0.140018972824006,false
0.01,0.59,0.992537179277728,6.34339874494343e-06,0.00501858395934366,-4.09821614607797e-06,0.00244695366070334,-0.163062608791108,false
0.01,0.6,0.990194337598762,0.00176034841245362,0.0067767025885921,-0.0018284015310043,0.00303180100368296,-0.190956992610363,false
0.01,0.61,-0.991133247906722,1.96461954915926e-06,-0.00598539048724792,-2.52012239014748e-06,-0.0028841233857898,-0.212639639116247,false
0.01,0.62,0.990412202639302,1.52334809949889e-05,0.00647696173810775,-2.1510987159135e-05,0.00311362152277757,-0.239263550508341,false
0.01,0.63,0.990458102962502,9.1100800654629e-05,0.00643689223720378,-7.33477676160294e-05,0.0031077908622318,-0.266968423647996,false
0.01,0.64,0.990395792866528,4.44955555036439e-07,0.00647133444836958,-3.87320539039892e-07,0.00313565909225095,-0.295744123478377,false
