beta,omega,solution_1,solution_2,solution_3,power
0.02,0.78,1.06853557963884,6.24059833227514e-06,-0.0685344628711196,-0.0929108197021468
0.02,0.8,1.06114566300759,5.04629849351084e-06,-0.0611444000627144,-0.0925901743317547
0.02,0.82,1.05416367526682,-1.34537401211121e-05,-0.0541622740420868,-0.0910872005960225
0.02,0.84,1.02928682592825,-0.0548035300468706,-0.0292843908139538,-0.0918831676439717
0.02,0.86,1.03247565748586,-0.0290926120293216,-0.0324735397132129,-0.0840411075250485
0.02,0.88,1.03405099446442,3.92179647009531e-05,-0.0340491959514027,-0.0781217055930242
0.02,0.9,1.0292709242612,1.41660967265264e-05,-0.0292690309553084,-0.0705035802178046
0.02,0.92,1.00983894312191,-4.10263523333714e-06,-0.00983666528973291,-0.0574500669578944
0.02,0.94,1.00713024880382,2.4408174464507e-06,-0.00712791746102658,-0.0446292268590472
0.02,0.96,1.00355166878799,7.70434071425969e-07,-0.00354926664785483,-0.0301825528062344
0.02,0.98,1.00093441589188,3.98596173766639e-09,-0.000931961977485305,-0.0144548989684685
0.02,1,1.00000251725112,-6.96336321991014e-08,-4.49039327932573e-08,0
0.04,0,4.35039704120154e+153,0.1,0.1,0
0.04,0.02,1.00087688224981,2.51780382469793e-06,-0.000874427222296999,-0.00999604679666474
0.04,0.04,1.00729055656137,3.69373463157377e-06,-0.00728822840169491,-0.0199949876216069
0.04,0.06,1.0237007944138,3.85893464490082e-06,-0.0236987908342445,-0.0303408309339691
0.04,0.08,1.00500263139783,-3.62074758687209e-06,-0.00500025791295222,-0.039753471390708
0.04,0.1,1.01551259952236,3.36887771543074e-06,-0.0155104339834566,-0.049749281466529
0.04,0.12,1.00510941991521,-3.42512039981204e-06,-0.00510704854438356,-0.059116366076903
0.04,0.14,1.01420933720068,3.4043432709384e-06,-0.0142071458850916,-0.0687949093140175
0.04,0.16,1.05495280029389,7.62722926651164e-06,-0.0549514148857623,-0.0827818912974529
0.04,0.18,1.0141531632927,-1.50290717446911e-06,-0.0141509708172951,-0.0870995940291233
0.04,0.2,1.05034652467752,-6.90026340204805e-06,-0.0503450480180902,-0.0999625274502585
0.04,0.22,1.01638799021103,-3.15474142152567e-06,-0.0163858419219926,-0.104466518704941
0.04,0.24,1.01856059508457,-4.04770284719627e-06,-0.0185584897586976,-0.112713588821785
