zeta,omega_ratio,solution_1,solution_2,solution_3,power
0,0,5.45216963152208e+80,0.1,0.1,0
0,0.02,1.0009854539786,-1.3409399981986e-07,-0.000985356021319989,-0.00999623856676876
0,0.04,1.04788465481314,-2.84119247648096e-07,-0.0478845939007689,-0.0212107773476346
0,0.06,1.03134362065966,-1.63478067281356e-07,-0.0313435466817734,-0.0306873914433449
0,0.08,1.02420048931369,-1.71475205035612e-07,-0.0242004096937836,-0.0403433345704999
0,0.1,1.02037954902138,1.45116573741346e-07,-0.0203794663833155,-0.049984228316527
0,0.12,1.0183173580455,-1.57631412652114e-07,-0.0183172737784049,-0.0595458304503499
0,0.14,1.01719441204612,-7.33985451733974e-08,-0.0171943268933398,-0.0689761541846864
0,0.16,1.0168461414222,1.52221743914446e-07,-0.0168460559932163,-0.0782467962412424
0,0.18,1.01709688629628,1.48449519408335e-07,-0.0170968010652909,-0.0873232259840757
0,0.2,1.0682623366607,-3.34489932063627e-07,-0.068262291843922,-0.103962104302062
0,0.22,1.06667472183123,2.72004209725115e-07,-0.0666746757610647,-0.112083046935373
0,0.24,1.06686197843029,3.47835611463467e-07,-0.0668619325080635,-0.120100271770165
0,0.26,1.06876723161455,-3.09898572668916e-07,-0.0687671871967889,-0.127951337362503
0,0.28,1.02651969896466,1.70175631707986e-07,-0.0265196211766118,-0.128532769216428
0,0.3,1.07817372357381,3.29147038333358e-07,-0.0781736865868671,-0.142894838534621
0,0.32,1.0865825318866,4.01483351229509e-07,-0.0865825015415665,-0.149891040416439
0,0.34,1.09984787389588,-4.25418486533199e-07,-0.0998478540284032,-0.156753146101009
0,0.36,1.0885574796074,1.2864988832567e-07,-0.323918698704087,-0.15574106631057
0,0.38,1.10503061468681,-2.3205024446209e-08,-0.304196307575852,-0.146524381735731
0,0.4,1.11834231778278,-4.21422476879873e-07,-0.28631209704131,-0.136706003571196
0,0.42,1.12892355050478,9.02952601268654e-07,-0.270111809910864,-0.126581040913164
0,0.44,1.13713011196498,1.01448770175869e-07,-0.255519941440767,-0.116476657427904
0,0.46,1.14329330741204,-8.44373868672252e-08,-0.242493931631369,-0.106716987999705
0,0.48,1.14774477220723,4.80991704497139e-08,-0.230979838696252,-0.0975652442171906
0,0.5,1.15081465198495,8.16791779317723e-09,-0.220880637319206,-0.0891809170119583
0,0.52,1.15280871368673,4.82398538253544e-07,-0.21205862021256,-0.0816181984157723
0,0.54,1.15398824119226,-2.26655331682692e-07,-0.204357192477995,-0.0748563136066802
0,0.56,1.15456373158522,-1.76167495831678e-07,-0.197621142593074,-0.0688342773778357
0,0.58,1.15466061337634,3.52190182274874e-07,-0.189686896287654,-0.0648277872479802
0,0.6,1.15195792950539,-5.89407827645081e-07,-0.170234934750421,-0.0697904602729203
0,0.62,1.14552991999319,-1.64281666875634e-08,-0.152970807175846,-0.0744162458009609
0,0.64,1.13595050259644,4.12703648458891e-07,-0.137540243857587,-0.0785989638088083
0,0.66,1.12365028299904,-3.21501342019162e-07,-0.123650281932767,-0.0822188247336426
0,0.68,1.1112926319329,-1.28428936637053e-07,-0.11129262110558,-0.085503827709906
0,0.7,1.1003119392812,-1.48595146409632e-09,-0.100311919780445,-0.0885540384751198
0,0.72,1.09042278539962,3.58579251768182e-08,-0.0904227580875935,-0.0912082766757089
0,0.74,1.08140519216518,-1.53929100861003e-07,-0.081405157730221,-0.0932983504122326
0,0.76,1.07308952398779,-2.99147538361201e-07,-0.0730894829843551,-0.094654645117248
0,0.78,1.06534511675835,-1.94334275878326e-07,-0.0653450696377661,-0.0951119067177567
0,0.8,1.05807148399449,-2.35120694577279e-07,-0.0580714311285526,-0.0945126784174299
0,0.82,1.05119125537835,-3.18458378842165e-07,-0.0511911970777949,-0.0927086908126997
0,0.84,1.04464412168922,-2.3032796232032e-07,-0.0446440582172161,-0.0895598009426405
0,0.86,1.03325754877117,-0.0178412190353924,-0.0332574692589295,-0.0855574126564725
0,0.88,1.03236727977543,-1.26250975594067e-06,-0.0323672066057328,-0.0786936447224123
0,0.9,1.02656847816955,-1.06000863372581e-07,-0.0265684004199261,-0.0707155635141349
0,0.92,1.01741924654211,-2.40766792832921e-07,-0.0174191615662076,-0.0598672294325047
0,0.94,1.00735532847649,9.13736620929551e-08,-0.00735523555081433,-0.0461610025669736
0,0.96,1.00514056465978,-5.7887903187097e-08,-0.00514046998459413,-0.0322269557586363
0,0.98,1.00221951468902,-2.20366317165312e-09,-0.00221941770660115,-0.0167373096103389
0,1,1.00000009876384,9.8358742140031e-12,-2.82995805993453e-11,-2.15457004615562e-10
0.02,0,5.45216963152208e+80,0.1,0.1,0
0.02,0.02,1.00111208080323,-8.66930446493199e-08,-0.00111198294485301,-0.00998827702908153
0.02,0.04,1.04824606461623,-2.71579599772009e-07,-0.0482460039893311,-0.0211861062534372
0.02,0.06,1.03173402862011,-1.83380242019911e-07,-0.0317339549506422,-0.0306215918924873
0.02,0.08,1.00596796426784,5.04798736700604e-08,-0.00596787024622258,-0.0396397666363701
0.02,0.1,1.02097085709632,1.34226011211596e-07,-0.0209707749253113,-0.0497934323421615
0.02,0.12,1.01888022912016,1.44942405264969e-07,-0.0188801452978077,-0.0592606938246483
0.02,0.14,1.01786469795629,1.28290387920725e-07,-0.0178646133307652,-0.0685864860272939
0.02,0.16,1.01767409869739,-1.43375608237945e-07,-0.0176740139222138,-0.0777375530796399
0.02,0.18,1.01802308059823,-5.93537724193018e-08,-0.0180229960985195,-0.0866730421144198
0.02,0.2,1.0705762517934,3.95910025438342e-07,-0.0705762088050365,-0.103332104658569
0.02,0.22,1.02029597022385,1.42685899727361e-07,-0.020295887519766,-0.103768029522931
0.02,0.24,1.07011452888261,3.61972323930331e-07,-0.0701144855295255,-0.119213863033038
0.02,0.26,1.07221557207302,3.24270581756324e-07,-0.0722155303794895,-0.126815200020763
0.02,0.28,1.07654560301347,-1.99121860562824e-08,-0.0765455647400418,-0.134241879321278
0.02,0.3,1.03262093159783,1.83451623326612e-07,-0.0326208586290606,-0.133703728897492
0.02,0.32,1.03833243611779,7.9295109991994e-09,-0.0383323676603691,-0.139969689870052
0.02,0.34,1.04584808117494,-4.99622626742166e-08,-0.045848018653665,-0.145564061747423
0.02,0.36,1.09436731481873,-2.10751198467229e-07,-0.317202002732788,-0.148759575570593
0.02,0.38,1.10972066037396,-1.86647376612321e-06,-0.298139069018771,-0.139826459006113
0.02,0.4,1.12201357501121,-3.66801175433979e-07,-0.280940290781953,-0.130440263732426
0.02,0.42,1.1316888899229,-3.64164924702606e-07,-0.265448165429447,-0.120885835745311
0.02,0.44,1.13912189570631,2.34616004651703e-07,-0.251565406543846,-0.11145383734216
0.02,0.46,1.14466049145776,-3.06713408485518e-07,-0.239213141181902,-0.102406161043898
0.02,0.48,1.14863818463666,-1.23161696795459e-07,-0.228299643462123,-0.0939394910347798
0.02,0.5,1.15136734714837,1.96094628880366e-07,-0.218707093602344,-0.0861660705758957
0.02,0.52,1.15312599151077,3.75093044944691e-07,-0.210296597767747,-0.0791210722089509
0.02,0.54,1.15414740425007,-1.67734763361727e-07,-0.202922299650565,-0.0727856331900621
0.02,0.56,1.15461865206349,5.94164205505831e-07,-0.196444595517796,-0.0671097738455742
0.02,0.58,1.15468530963149,7.6965411980466e-07,-0.19073727719335,-0.0620307118688729
0.02,0.6,1.15423010115561,3.80832584193336e-07,-0.183065055589351,-0.059203022207271
