zeta,omega_ratio,solution_1,solution_2,solution_3
0.01,1,1.00004038453583,-5.71570193967141e-05,1.9244842361185e-05
0.02,0.99,0.997515459497838,0.00246152211929441,2.5540931272354e-05
0.02,1,-0.999016721440408,-0.00148522991610202,0.000499479269963931
0.02,1.01,-1.00244832441617,0.00244487587057989,1.0246153020433e-06
0.03,0.99,-0.996517611550549,-0.00396733383751563,0.000482423196872751
0.03,1,1.00015564326332,-0.000230822884058445,7.76520102534579e-05
0.03,1.01,1.00271862545462,-0.00283606926615503,0.00011986717768337
0.04,0.98,0.994968511035859,0.00496326219804854,7.08014810344583e-05
0.04,0.99,0.99725647191121,0.00284057578686696,-9.45247766216422e-05
0.04,1,1.00075363115007,-0.00112361983696855,0.000372460910635297
0.04,1.01,1.00078834328761,6.24417135027052e-05,-0.00084836175638049
0.05,0.98,0.994809910662853,0.00519832957215402,-5.66540792573139e-06
0.05,0.99,0.995510090606723,0.00548473781178076,-0.00099230646911931
0.05,1,1.00353778694356,-0.00530277675337632,0.00176746214810722
0.05,1.01,1.00085089809519,-2.94714293577929e-05,-0.000819003496478872
0.05,1.02,1.00542517839315,-0.00572341052182517,0.000300609111512429
0.06,0.97,0.992214726874484,0.00774263155679759,4.52697408571976e-05
0.06,0.98,0.99278221982517,0.00826999532648955,-0.00104964151567167
0.06,0.99,0.99990731753482,-0.00113182352148387,0.0012270287540244
0.06,1,0.995213516754318,0.00720551500934204,-0.00241656028791988
0.06,1.01,1.00094656052477,-0.000172283393153859,-0.000771853990027142
0.06,1.02,1.00435640638478,-0.00411569512662217,-0.00023833445518924
0.07,0.97,-0.992232405707865,-0.00773807119158178,-3.21504040559271e-05
0.07,0.98,0.992920280499136,0.00807073080445466,-0.000988437977264598
0.07,0.99,1.00162304508294,-0.00369783115622804,0.00207730853997081
0.07,1,1.00478926078903,-0.00717298350183826,0.00238619477353436
0.07,1.01,1.00450906284634,-0.00551587028360754,0.0010092305710985
0.07,1.02,1.0020435587217,-0.000629959829269939,-0.00141122273984383
0.07,1.03,1.0056645696389,-0.00490206060613651,-0.000760178745903349
0.08,0.96,-0.989999944049079,-0.00970636486953202,-0.000296372992726662
0.08,0.97,0.991833816571564,0.00830463220917908,-0.00013582023677599
0.08,0.98,0.99819855182783,0.000129790935947541,0.0016742314918646
0.08,0.99,1.00284425791554,-0.0055615875720204,0.00271985338608492
0.08,1,0.994982296481762,0.00754020087701691,-0.002520025402525
0.08,1.01,1.00349931678456,-0.00402884070683353,0.000531948146234342
0.08,1.02,1.00260025659712,-0.00147736760472432,-0.00112051235104687
0.08,1.03,1.00790162009699,-0.00826656724341997,0.000367277784896671
0.09,0.96,0.990422685849199,0.00906354131295523,0.000516455093609254
0.09,0.97,0.992720953715105,0.00698044697579322,0.000301227593560351
0.09,0.98,0.995369164221017,0.0043943161671145,0.000239093059436099
0.09,0.99,0.999601699216985,-0.000650267935366958,0.00105109057094057
0.09,1,1.00380378491845,-0.0057035496287591,0.00190223711874433
0.09,1.01,1.00786531074271,-0.0105903554550774,0.00272746943172615
0.09,1.02,1.00585833366118,-0.00637278239844896,0.000516825705647043
0.09,1.03,1.00448810609533,-0.00312600418717836,-0.00135977207108072
0.09,1.04,-1.00906810134717,0.00887771778947274,0.000188097963568736
0.1,0.95,-0.986703013724899,-0.0132243229676836,-7.54016877974703e-05
0.1,0.96,0.989549221133559,0.0103590562240246,9.44054789624527e-05
0.1,0.97,0.99487035738977,0.00377133200926846,0.00136093829157039
0.1,0.98,0.994225608689303,0.00605074607094115,-0.000273778982079313
0.1,0.99,0.994180518341284,0.00745971249235542,-0.00163770811693775
0.1,1,1.00067675579775,-0.0010187740496706,0.000344490889761097
0.1,1.01,0.999925781105657,0.00134469749149145,-0.00126805489366469
0.1,1.02,1.00580580383715,-0.00627215606558296,0.000468728333200618
0.1,1.03,1.00687412446505,-0.00673127885345807,-0.00014051473715508
0.1,1.04,1.00980494363997,-0.0100071607693377,0.00020450368717047
0.11,0.95,0.986031991365128,0.0141542955904628,-0.000183545546287345
0.11,0.96,0.986353576750781,0.0151977812672021,-0.00154867697018975
0.11,0.97,0.99609575613132,0.00193854145149592,0.00196832989795067
0.11,0.98,0.988439250391671,0.0147498606593251,-0.00318653604501635
0.11,0.99,0.992364267629477,0.0101441761106852,-0.00250591944386062
0.11,1,1.00268726521647,-0.00402338220743882,0.00133858918670817
0.11,1.01,1.00891334434955,-0.0121249019813633,0.00321398086943629
0.11,1.02,1.00214678359614,-0.000819022673999678,-0.00132538341519116
0.11,1.03,-1.00571178343231,0.0049416290627143,0.000767825319876245
0.11,1.04,1.01056680731398,-0.0111184044096359,0.000553882400883512
0.11,1.05,1.0113423814745,-0.0111980923885704,-0.000142046646100296
0.12,0.94,0.984765505421468,0.0146733009614081,0.000563989646729977
0.12,0.95,0.987354535781532,0.0122237246204933,0.000424478901201423
0.12,0.96,0.985603955885077,0.0163120557563446,-0.00191333019154381
0.12,0.97,0.987643011081106,0.0146371472642939,-0.00227753163285578
0.12,0.98,0.992996026715315,0.00794960676671217,-0.00094305985885267
0.12,0.99,0.998004727181329,0.0017391070035691,0.000258687908926029
0.12,1,0.990737274149295,0.0138869787719757,-0.00462178014187816
0.12,1.01,0.993777885900205,0.0105812914591525,-0.00435675423700674
0.12,1.02,1.00766090719512,-0.00905421777730617,0.00139568666276052
0.12,1.03,1.01257472786628,-0.0152740763506607,0.00270167903585979
0.12,1.04,1.00986442049351,-0.0100698489603756,0.000207713971141467
0.12,1.05,1.01052802613183,-0.00999345653696989,-0.000532326490027537
0.13,0.94,0.985480626434761,0.0135468040113753,0.000975367712065783
0.13,0.95,0.982843150639774,0.0189914576368261,-0.00183186899830857
0.13,0.96,0.987342760178422,0.0137006090449806,-0.0010406876460241
0.13,0.97,0.993157232091036,0.00630224815276829,0.00054314898124228
0.13,0.98,1.00329263561489,-0.00746994256511903,0.00417987956600492
0.13,0.99,0.99129759587463,0.0118030928885866,-0.00309816679687375
0.13,1,1.00177167277419,-0.00263558891519292,0.000866387767216969
0.13,1.01,1.00006426748608,0.00114898634188787,-0.00121083059997187
0.13,1.02,0.997599039766915,0.0060388769633145,-0.00363554065906884
0.13,1.03,1.00232599826196,0.000106011900711172,-0.0024296798838435
0.13,1.04,1.00420532417534,-0.00162912789900423,-0.00257390887404677
0.13,1.05,1.01410127248356,-0.0153491850369896,0.0012501554930502
