zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,power,test_FLAG
0.01,0.01,-0.976349218899704,0.0452512610353622,-0.0641149869245828,0.00678972545591318,-0.0115836475052104,-0.00375015116169109,false
0.01,0.02,-0.977616328895818,0.0442106465215858,-0.0630732060028939,0.00699950996952776,-0.0105272133678533,-0.00750866468468043,false
0.01,0.03,-0.977122426228041,0.0451970578775916,-0.06431588602301,0.00749163105199867,-0.0112571086344537,-0.0112432236443762,false
0.01,0.04,-0.975538892424771,0.0478927783509164,-0.0669043810337737,0.00796248389400327,-0.0134191927434586,-0.0149650897385157,false
0.01,0.05,-0.97701516653129,0.0464968748675985,-0.0651812899736569,0.00755489857441934,-0.0118621866944674,-0.0186868021727068,false
0.01,0.06,-0.97394064753529,0.0488015875662069,-0.0725708548038815,0.0131447475931677,-0.0154421401424845,-0.0224617418735659,false
0.01,0.07,-0.977598019026096,0.047587057339558,-0.0656579837084331,0.0076693652205906,-0.0120073114238438,-0.0260812902788796,false
0.01,0.08,-0.977604287926927,0.0488806937640631,-0.0670217092522456,0.00841577013961418,-0.0126774576167782,-0.0297455578438725,false
0.01,0.09,-0.979679323581435,0.0474393099302363,-0.0647685531512458,0.00783317547524633,-0.0108311983745131,-0.0334600483293012,false
0.01,0.1,-0.980050411030042,0.0485084832810846,-0.0656343083783564,0.00829083846461233,-0.0111212253119691,-0.0370813380121904,false
0.01,0.11,-0.97940429474673,0.0512313920971639,-0.0686751428785214,0.00965472350528136,-0.0128136003841542,-0.040625404166288,false
0.01,0.12,-0.98062932855697,0.0512077386136314,-0.0674373630453245,0.00882785521269328,-0.011975684059164,-0.0442115778586894,false
0.01,0.13,-0.980502400369283,0.0539712039312633,-0.0699577698947349,0.0098809536118773,-0.0133990205361511,-0.047715636880503,false
0.01,0.14,-0.999407169688979,0.237712981896034,0.0744267476452797,0.0792028885927809,0.0282405635955709,-0.0783537582367183,false
0.01,0.15,-0.982084780024738,0.057149098486357,-0.0715290197339744,0.0103932454485815,-0.0139356531488429,-0.0546743432863409,false
0.01,0.16,-0.330047413028649,0.320675086389985,0.351766958212719,0.357564479597089,0.300172373711151,-0.183173147550577,false
0.01,0.17,-0.465623766268323,0.515719178869482,0.336289463932962,0.213175033708646,0.400577237126777,-0.171410555823145,false
