zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,power,test_FLAG
0.01,0.01,-0.981649313641419,0.0304448466375195,-0.0467723365329169,-0.00202808256336673,-0.00403542899436251,false
0.01,0.02,-0.975623659121522,0.0221680701507054,-0.0414082120421092,-0.00514129994854878,-0.0080445604677339,false
0.01,0.03,-0.985930320478207,0.0333327110442913,-0.0472698085471154,-0.000137216133595913,-0.0121393454710771,false
0.01,0.04,0.493799580768767,0.647964885139259,-0.232579962335014,0.090827762813172,-0.0253902885266105,false
0.01,0.05,-0.980991328819393,0.0304457427782388,-0.0468999430157546,-0.00255942765069153,-0.0200970600684051,false
0.01,0.06,-0.979556563455824,0.0288241797540927,-0.0458465994996208,-0.00342604591804388,-0.0240601727390438,false
0.01,0.07,0.430761742680797,0.707886687804872,-0.221709699865419,0.0830744458558104,-0.0475695615153983,false
0.01,0.08,0.433686783983936,0.706945544169011,-0.224394197814075,0.0837749513651666,-0.0539677469420167,false
0.01,0.09,0.440989577395411,0.700666520711669,-0.22726664505394,0.0856235533931015,-0.059986216177207,false
0.01,0.1,0.44665256677559,0.696012393615001,-0.229973593130163,0.0873215880186447,-0.0659440154021944,false
0.01,0.11,-0.978418502667416,0.0289685798505278,-0.0458190109965966,-0.00473624629161155,-0.0436435825923925,false
0.01,0.12,-0.978274567019794,0.0288259296880648,-0.0455356203371175,-0.00502094222692128,-0.047483667351255,false
0.01,0.13,-0.983194670080279,0.0343286514680752,-0.0484849694641593,-0.00265399710269668,-0.0514044768938094,false
0.01,0.14,-0.98262660563766,0.0400026000286419,-0.0547209662065997,-0.00266027189869817,-0.055312402074487,false
0.01,0.15,-0.979117054412826,0.0296137845449247,-0.0451828227699821,-0.00531910612438674,-0.0588255850558921,false
0.01,0.16,0.498374867126266,0.660762012219746,-0.255650803893955,0.0965257513009943,-0.0957595384093609,false
0.01,0.17,-0.982349301771501,0.0362712425553963,-0.0497013956083343,-0.00422575062626472,-0.0662553282245567,false
0.01,0.18,-0.296530632757311,0.4702172095138,0.454349525767011,0.37204677896201,-0.188954981680627,false
0.01,0.19,0.498607745020889,0.669502970441225,-0.267060454078724,0.0989613502883318,-0.110997175564407,false
0.01,0.2,-0.3446541267564,0.623111382493411,0.147870522972865,0.573763879187612,-0.174701693755531,false
0.01,0.21,8.00005801604382e-06,1.55904953393117e-05,4.66768575955056e-06,0.999986471552444,-0.116785745832779,false
0.01,0.22,-0.429106585642843,0.767634391106879,0.212701098406988,0.448854636508223,-0.162066809386827,false
0.01,0.23,-0.429289367116598,0.787025662253184,0.220309586672028,0.422035310961408,-0.153657392124084,false
0.01,0.24,-0.426366347143697,0.803058730423753,0.227597879117341,0.395788565290722,-0.144619230882305,false
0.01,0.25,-0.420208835000549,0.815031609479262,0.23451671616272,0.370737011569016,-0.135066211548823,false
0.01,0.26,-0.410776951714256,0.823124980930608,0.241094431280311,0.346631731556548,-0.125240539971082,false
0.01,0.27,-0.398721051944897,0.828086986127617,0.248031518234658,0.322674406425317,-0.115505142315565,false
0.01,0.28,-0.380728105094316,0.826984765748458,0.247885008682011,0.305928171772762,-0.105914609349531,false
