zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.02,0.64,1.14324252859542,-0.148650294430542,-0.0690706349222218,false
0.02,0.65,1.13856515420358,-0.141168457147048,-0.0712798690715412,false
0.02,0.66,1.13322056746521,-0.1340628151393,-0.073355663572022,false
0.02,0.67,1.12724707950521,-0.127302995535177,-0.0752824670792149,false
0.02,0.68,1.12088191203574,-0.120881830565639,-0.0770685821566214,false
0.02,0.69,1.11484154469586,-0.114841343753194,-0.0787948454558705,false
0.02,0.7,1.10914564047148,-0.109145326869391,-0.0804509502975379,false
0.02,0.71,1.10375793555318,-0.103757515387543,-0.0820213946712161,false
0.02,0.72,1.09864300262126,-0.0986424812872459,-0.0834807100578173,false
0.02,0.73,1.09377350002518,-0.093772882377164,-0.0848129895073152,false
0.02,0.74,1.08912263707468,-0.0891219274371292,-0.0859942408409314,false
0.02,0.75,1.08466788601337,-0.084667088265195,-0.0870033618628945,false
0.02,0.76,1.08038930359378,-0.080388421219423,-0.0878187329728369,false
0.02,0.77,1.07626997240539,-0.0762690085546911,-0.0884210247501999,false
0.02,0.78,1.0722938961201,-0.0722928536264908,-0.0887874254465927,false
0.02,0.79,1.06844827885744,-0.0684471603012715,-0.0888999876833251,false
0.02,0.8,1.06472083268311,-0.0647196404016994,-0.0887375043342816,false
0.02,0.81,1.06110133570786,-0.0611000718363341,-0.088281493556072,false
0.02,0.82,1.05758056455887,-0.0575792310499255,-0.0875131853946641,false
0.02,0.83,1.05415134121672,-0.0541499398810826,-0.086418248827818,false
0.02,0.84,1.05080546282353,-0.0508039953096865,-0.0849752157177764,false
0.02,0.85,1.0475376455798,-0.0475361134317224,-0.0831716627504835,false
0.02,0.86,1.04434157381143,-0.0443399784481729,-0.0809882946553573,false
0.02,0.87,1.04121219345092,-0.0412105361915754,-0.0784102832485885,false
0.02,0.88,1.01821594697752,-0.0182138348748763,-0.0744922051847229,false
0.02,0.89,1.01368535103032,-0.01368314931691,-0.0694774925855158,false
0.02,0.9,1.01051069935382,-0.0105084348488992,-0.0639913584633886,false
0.02,0.91,1.00816631855211,-0.0081640076776234,-0.0580990659198002,false
0.02,0.92,1.00615803200509,-0.00615568140865731,-0.0518332513426172,false
0.02,0.93,1.00442806600192,-0.0044256811884501,-0.0452144177630558,false
0.02,0.94,1.00304859287332,-0.0030461807752213,-0.0382557216589135,false
0.02,0.95,1.00171878545824,-0.00171634705784621,-0.030965986674088,false
0.02,0.96,1.00062312621899,-0.000620666147528872,-0.0233512244430563,false
0.02,0.97,0.999632143869579,0.000370335802546097,-0.0154161212412103,false
0.02,0.98,0.998734926643544,0.00126757077466146,-0.00716354537067482,false
