zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,power,test_FLAG
0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,true
0,0.25,-0.166608074099201,0.0692840565694452,0.018565776277456,0.25940262684089,0.147326793236936,0.290028530010452,0.163398004417191,0.189454357977108,0.00714360377538675,0.0472399895612188,0.0073406028075296,0.0207144149104049,-0.053135741390921,-0.00211316195083541,0.0202042459621366,0.0168426744749596,-0.0487189162025752,0.0654278091423771,0.0261268592572366,-0.0236703665618843,-1.62465448702311,false
0,0.5,-0.196647399022619,0.406426394085794,0.357570055171198,0.408842099601034,-0.0323888727303026,0.188728058576185,-0.0244948103599379,0.0250985228520315,-0.0122297562303892,-0.0446583513562149,0.02185980650201,0.0527456378879794,-3.66978172536719e-05,-0.0123624434889567,-0.00904691526980911,-0.00254878057680843,-0.004363023486915,0.0157589129685213,0.000602368136848688,-0.0046879727494571,-2.82824494444759,false
0,0.75,-0.147798300323593,0.42017565433283,0.131749340316614,0.45565611679939,0.139736013372629,0.125596654902612,-0.00671978120421493,0.0426402350949767,0.0147204197522628,-0.0461163433756904,-0.00122207705710374,0.045762842872275,0.0218434079650257,0.0224953919701821,-0.0247865399936466,-0.0354904666805661,0.0323459813602766,-0.0164980102273967,-0.0085257595607526,0.0166838253825793,-15.8395785660393,false
0,1,0.0177426378512708,0.188838323577139,0.241656887339677,0.353864467927474,0.242310357322468,0.147825616085274,0.0384012387167151,-0.0234195982737282,-0.0234654800761294,-0.0249314266649119,0.0176302581927753,0.0207070018313526,0.00793053493015248,-0.0081139534148159,-0.0132924759253553,0.0369097551963823,-0.0114151749176483,-0.00547809619108691,-0.0281609706635681,0.0331097669070289,-34.3462225070666,false
0.25,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,true
0.25,0.25,-0.169903289539464,-0.0326024474995717,0.195710242209811,0.312062505171608,0.265099711865996,0.267626266325742,0.0702646651431218,0.109167394589652,-0.0933577970732706,0.025923355522858,-0.0455065973357242,0.0645478096233831,-0.00627505487860529,-0.0102571189469306,0.0227746406606695,0.000990533705005639,0.0133967816451465,-0.00272761798489239,-0.0175548637484914,0.00311259010650963,-0.609965363517173,false
0.25,0.5,-0.11698159830852,0.206918614859578,0.215452677730792,0.44610394731069,0.171172950530341,0.179736697479286,-0.00698479878615694,0.0619686796537853,-0.110541178202011,0.0255885893731692,0.0271692785794414,-0.00930161540031512,0.0264112224767371,-0.00575917562024065,-0.0172894736544971,0.0125538959549547,0.00224292929645408,-0.00676591386812718,-0.00828931574238537,0.0123671732839258,-3.27723813920855,false
0.25,0.75,-0.188056470098617,0.328160537064953,0.260861687706623,0.31275721276141,0.182863625861791,0.27465817019672,-0.0791405419280529,0.0393787366689915,0.0349410837985386,-0.0173405984325472,-0.0573730181744597,0.0431650586541735,-0.0200580324672813,0.0266337022925216,0.0235090483451224,-0.0112169041505245,-0.00854042541226669,-0.0214797893513935,0.00956963505041068,0.0145212471157664,-14.2956372728744,false
0.25,1,0.196151177073998,0.417398312718683,0.245221710060534,0.299288431853224,0.185865554997427,0.134395267953132,-0.00584653304278315,0.0575001003099317,-0.0421784370324314,-0.0157820334008994,0.000408023545051718,-0.024548078099975,0.0319034870889269,0.0355011344986206,-0.00946892121282335,-0.0125947274020796,-0.042011340014828,0.032264671786671,0.00275461989185676,0.00247307482845384,-28.438402990607,false
0.5,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,true
