0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,-0.0462707292416363,-0.0657011383985705,-0.247530663244997,-0.739917816478193,-1.02311311526851,-1.49581934145681,-2.88069643416202,-2.98015142518343,-3.21540677696183,-4.28193474187735,-5.2425469809581,-2.21816794937982,-7.86003556527379,-9.15902009811551,-13.3904046851999,-14.0399652706114,-17.659081735137,-17.1421410931559,-26.7162632498858,-29.6269463387737
0.0,-0.0388225021776797,-0.28120729841113,-0.20870041610656,-0.654024531058075,-0.675866451589729,-1.22154067905325,-1.06808239291818,-2.59981193226273,-3.92134237379469,-9.71136309807132,-2.78830542248677,-11.8062344829554,-16.4624526411764,-12.5714197203386,-14.7790207131454,-10.5543055383619,-25.2619649017603,-15.0718366564931,-26.0185045773373,-38.4144605070651
0.0,-0.0703867385617849,-0.0990429302753578,-0.201359458142395,-0.63895846235288,-1.01673729350784,-1.55510689367654,-1.59025722817034,-1.9793619279186,-3.86792386288459,-2.69660012862221,-4.46389827629107,-7.89527246591401,-8.22149786957607,-5.14314318905733,-16.1216765139199,-28.7557508823762,-19.0026324764925,-21.9638104105984,-32.2845129728987,-28.530649400857
0.0,-0.075401136420084,-0.0382106814659626,-0.281153689728823,-0.488116731929167,-0.543427340717416,-0.811786669201702,-0.846205381902005,-1.45746814486478,-3.04695095751492,-5.28006955687788,-5.22404986463182,-6.18125902382261,-6.48775767962218,-21.5228610114328,-9.19248113735749,-8.15625924442138,-37.3083161002068,-16.3730678060043,-14.4546853805571,-33.2290010418518
0.0,-0.0291434471733864,-0.114190344155985,-0.293422198656102,-0.388377799959534,-0.601934055808563,-0.361218053528451,-2.04005922751999,-1.85184024000848,-1.98858242649813,-7.15706919277328,-5.24590869371294,-2.6172832118374,-9.04804377866319,-8.76319494655667,-8.28242620083029,-12.7547503012109,-10.2836744731304,-22.5781482397416,-16.3523262680797,-119.209574233392
0.0,-0.0306451878642071,-0.105017712482132,-0.24139872964119,-0.775695492711275,-0.380343620471665,-0.606173226162807,-1.27439640598014,-1.24710953494435,-1.16995103267964,-0.956239228103366,-4.17749457122248,-1.94943572395228,-17.8643298775221,-7.07589766144363,-17.1848496763663,-28.0861774012112,-23.3843769796847,-34.8209216043634,-48.4022185216976,-43.2889599394677
0.0,-0.0781868287307485,-0.141462169497458,-0.195231369475485,-0.267754669152998,-0.620688314451801,-1.08216557566077,-1.03382544962525,-2.07698405572512,-2.47165566924492,-2.88709030955072,-4.56926446829521,-5.3482868902967,-6.8229960851562,-6.06903550649889,-8.6192710455488,-13.8580648020575,-16.8767281010946,-11.5758459994652,-28.2011906207034,-96.352494377831
0.0,-0.0046206625248396,-0.132326403414176,-0.189390890485887,-0.573879423643976,-0.449061152921356,-0.610395556233672,-0.871142117234499,-2.25012723139994,-2.85286451465501,-5.90520668867736,-6.51345665156445,-3.12583927933828,-3.45783974823184,-13.1323653380154,-10.7152615534681,-15.4199859276477,-15.795424582884,-37.3734680718752,-16.5563953143985,-67.4278008337456
0.0,-0.0200014112050301,-0.126889030769243,-0.16392775386886,-0.559794046440423,-0.3342060300565,-0.548796796856765,-1.1079071811453,-1.73463763310148,-3.15868735696353,-2.68658988642251,-6.3044837804639,-4.80763173112755,-4.95767877515596,-8.47147531032038,-9.29136474209405,-15.5802939246221,-14.4058643596861,-17.7535008811327,-23.5781410010727,-12.2201740212243
0.0,-0.0778154117375623,-0.106937871353309,-0.157355912419418,-0.145098979832691,-0.285425683560742,-0.51533978161619,-0.608128324524831,-1.13225889067471,-0.937273217823678,-3.64473709501818,-4.64329921685961,-2.62026112875497,-6.36821810434646,-5.9963598994437,-9.0063247531548,-11.8044700637887,-15.4474254435618,-14.8313881514581,-9.82782385321539,-20.7221657161416
0.0,-0.0418349470809948,-0.0947270280363224,-0.145034868224801,-0.191146932333053,-0.646266777899494,-0.460903519358157,-0.210717513530474,-1.34333258672815,-1.41031567864006,-1.72761092466785,-3.25069254450963,-5.79693960289391,-9.7972239086555,-5.13280034121749,-11.2099129425227,-7.96795939408887,-12.7986016113144,-20.4824060773045,-20.656864495216,-29.410165772766
0.0,-0.0056773018960957,-0.0969765025290412,-0.115718490992416,-0.191067241421674,-0.223206054175377,-0.419370191147329,-0.755581414206113,-0.859698546381222,-1.8320691354218,-2.80498595294514,-4.69067260098254,-3.15082841081043,-6.03601159169557,-12.5798561601584,-8.19801710853905,-12.7146862296971,-11.7381933923097,-26.7343194711068,-20.5931448507692,-10.5190756726891
0.0,-0.068255598121912,-0.0839578919574727,-0.0947796711019963,-0.163644401321268,-0.24667651711496,-0.595039178040778,-1.08720458149835,-0.908196071533363,-1.45414859332432,-2.29646340034658,-2.41284147356813,-3.81975337057493,-5.18901876079757,-7.15720933492795,-6.68002186976152,-11.514221633692,-14.9071778931506,-22.1477489479065,-19.6852676580195,-19.5120248290852
0.0,-0.0103890989281445,-0.0652703869936298,-0.104652078368573,-0.136147526042773,-0.188931816787202,-0.694485858879277,-0.48700148879452,-1.290070723687,-1.65868376718644,-2.47075627330836,-3.82892393876824,-5.66278192717149,-5.01095287251909,-5.61335144730314,-8.47643866176713,-14.3102764907808,-10.5106427312577,-18.1727098792957,-21.8798374289495,-27.5056225581947
0.0,-0.0662431222360054,-0.050661130757208,-0.0778206769612398,-0.13990851608471,-0.212115995415975,-0.244444196460378,-0.454346715463623,-0.332960808278775,-0.711206783960164,-1.72822363944806,-3.67200441081447,-4.74288084449097,-6.02552256815283,-7.30080369127999,-8.68562515043498,-10.0907883058687,-10.4889609730551,-15.1453486727829,-16.6992597900903,-23.791719360903
0.0,-0.0671910125820867,-0.0733021439722189,-0.0636908740417031,-0.093688635510979,-0.247428722792578,-0.317503243777347,-0.305283766310878,-0.643379074662507,-1.91142993617304,-4.25403168483556,-5.10119585959758,-4.24954189441609,-5.80518475611241,-11.3760221480557,-5.81162798617311,-8.48085982515937,-9.62118902091951,-18.9240393702944,-11.9099191790854,-38.1090812220588
0.0,-0.0599056906376665,-0.0578232790465768,-0.0554151899709573,-0.110786148049083,-0.175776734470261,-0.22913488661846,-0.315980391065358,-1.02764009997453,-1.20767720907018,-1.0350607746615,-4.28177891291986,-6.68507476531431,-2.43779869753683,-5.69240527200236,-8.76464952240346,-9.30121949106355,-10.8702456829278,-9.0012312599129,-16.7317412810068,-18.9745054067655
