zeta,omega_ratio,solution_1,solution_2,solution_3,power
0,0,5.45216963152208e+80,0.1,0.1,0
0,0.01,1.00192394144511,-1.32082726406725e-07,-0.00192384422912735,-0.00500001150144684
0,0.02,1.0009854539786,-1.3409399981986e-07,-0.000985356021319989,-0.00999623856676876
0,0.03,1.01232714949059,-1.409952235522e-07,-0.0123270604919395,-0.0150499127650773
0,0.04,1.04788465481314,-2.84119247648096e-07,-0.0478845939007689,-0.0212107773476346
0,0.05,1.03762385486258,1.24618991483849e-08,-0.037623785845418,-0.0259026264057949
0,0.06,1.03134362065966,-1.63478067281356e-07,-0.0313435466817734,-0.0306873914433449
0,0.07,1.02714017844794,1.67559121898989e-07,-0.0271401011497261,-0.0355092057928404
0,0.08,1.02420048931369,-1.71475205035612e-07,-0.0242004096937836,-0.0403433345704999
0,0.09,1.02202157061869,1.46762699609354e-07,-0.0220214892776299,-0.0451712519201691
0,0.1,1.02037954902138,1.45116573741346e-07,-0.0203794663833155,-0.049984228316527
0,0.11,1.00546273080299,-8.14620893169698e-08,-0.00546263638231802,-0.054349109233367
0,0.12,1.0183173580455,-1.57631412652114e-07,-0.0183172737784049,-0.0595458304503499
0,0.13,1.01772191488036,-1.38089204043838e-07,-0.0177218301429958,-0.0642828083834408
0,0.14,1.01719441204612,-7.33985451733974e-08,-0.0171943268933398,-0.0689761541846864
0,0.15,1.01694790437287,-9.28908266631241e-08,-0.0169478190241039,-0.0736341862406582
0,0.16,1.0168461414222,1.52221743914446e-07,-0.0168460559932163,-0.0782467962412424
0,0.17,1.07437192544657,-2.11574061167676e-07,-0.0743718854560108,-0.0917123181361189
0,0.18,1.01709688629628,1.48449519408335e-07,-0.0170968010652909,-0.0873232259840757
0,0.19,1.01747067514745,-3.23627470192307e-08,-0.0174705902116894,-0.0917807144117476
0,0.2,1.0682623366607,-3.34489932063627e-07,-0.068262291843922,-0.103962104302062
0,0.21,1.06720631686045,1.02169235281166e-07,-0.0672062712099134,-0.108023976036377
0,0.22,1.06667472183123,2.72004209725115e-07,-0.0666746757610647,-0.112083046935373
0,0.23,1.0200723831231,1.58557063993059e-07,-0.0200723002424112,-0.108944263994798
0,0.24,1.06686197843029,3.47835611463467e-07,-0.0668619325080635,-0.120100271770165
0,0.25,1.02220060608968,-1.08582802336787e-07,-0.0222005248900654,-0.117064458651048
0,0.26,1.06876723161455,-3.09898572668916e-07,-0.0687671871967889,-0.127951337362503
0,0.27,1.07001199539692,3.31289443075855e-07,-0.0700119519628333,-0.131706668597327
0,0.28,1.02651969896466,1.70175631707986e-07,-0.0265196211766118,-0.128532769216428
0,0.29,1.07520774056208,-2.75092283973856e-07,-0.0752077012317956,-0.139314623436451
0,0.3,1.07817372357381,3.29147038333358e-07,-0.0781736865868671,-0.142894838534621
0,0.31,1.08183745766888,3.80334058185537e-07,-0.0818374235756101,-0.14640134908836
0,0.32,1.0865825318866,4.01483351229509e-07,-0.0865825015415665,-0.149891040416439
0,0.33,1.03887374354012,1.77242896296964e-07,-0.0388736755107488,-0.145246562945077
