zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.01,0.59,8.35946830833587e-06,0.999998286030805,-0.218005771698398,false
0.01,0.6,5.52664619847247e-06,0.999999704672487,-0.249990287002754,false
0.01,0.61,-4.64005540406664e-06,1.00000479602877,-0.283412136780752,false
0.01,0.62,-1.50673383375601e-05,1.00000483995555,-0.318286247028068,false
0.01,0.63,-1.00749548473163e-05,1.00000733224083,-0.354653177160397,false
0.01,0.64,1.0000024723616,-1.43650385817818e-06,-0.184876231944322,false
0.01,0.65,1.00000247237122,-2.41014361467246e-06,-0.183509626938983,false
0.01,0.66,1.00000247238139,-3.43796844567741e-06,-0.181946106854144,false
0.01,0.67,1.00000247237551,-2.8432083323734e-06,-0.180183504081195,false
0.01,0.68,1.00000247236414,-1.69419395212076e-06,-0.178218267689231,false
0.01,0.69,1.000002472352,-4.66130276495206e-07,-0.176047156994822,false
0.01,0.7,1.00000247233901,8.47267203055057e-07,-0.173667174408897,false
0.01,0.71,1.00000247232499,2.26532301149901e-06,-0.171075321413977,false
0.01,0.72,1.00000247231005,3.7726551954944e-06,-0.168268609306782,false
0.01,0.73,1.00000247232608,2.15395649387968e-06,-0.165245467097564,false
0.01,0.74,1.00000247234361,3.8185075315767e-07,-0.162001514825017,false
0.01,0.75,1.00000247236261,-1.53909826476745e-06,-0.158533748021177,false
0.01,0.76,1.00000247238362,-3.66312912096388e-06,-0.154839170463387,false
0.01,0.77,1.00000247236613,-1.89520691293847e-06,-0.150916394331577,false
0.01,0.78,1.00000247234104,6.42129478905147e-07,-0.146761088222483,false
0.01,0.79,1.00000247231288,3.49000911400416e-06,-0.14237004006906,false
0.01,0.8,1.00000247233187,1.5694255612932e-06,-0.137742016937186,false
0.01,0.81,1.00000247236705,-1.98806264193263e-06,-0.132872768884089,false
0.01,0.82,1.00000247237315,-2.60439397770022e-06,-0.127759927939006,false
0.01,0.83,1.00000247232732,2.02975093065359e-06,-0.122401006049007,false
0.01,0.84,1.00000247232995,1.76203485082765e-06,-0.116793037762905,false
0.01,0.85,1.00000247239365,-4.67779780463578e-06,-0.110933042386381,false
