zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,power,test_FLAG
0.01,0.01,-0.361687218882102,0.940418449230002,0.303572040928566,-0.0156627700100702,0.0601230657631299,-0.0118933562404307,false
0.01,0.02,1.00137340172336,-7.68194033204699e-06,-0.0341758958507687,-2.52752224481493e-06,0.0328062372601192,-0.00810511883672563,false
0.01,0.03,1.00153753076946,-2.58592524618649e-06,-0.03409718759032,1.08114984354517e-06,0.0325633869076158,-0.0121447755662273,false
0.01,0.04,1.00174987291434,-4.09689257938145e-06,-0.034328377187994,1.47452534546373e-06,0.0325822309052877,-0.0161725330314771,false
0.01,0.05,-1.00202962691329,-2.15396676461003e-06,0.0341689225962514,-4.63950613178949e-07,-0.0321429993846962,-0.0201833118499871,false
0.01,0.06,1.00233655940022,-3.04568640376588e-06,-0.0351124920696585,9.91264201596624e-07,0.0327796555152883,-0.0241758253474806,false
0.01,0.07,1.00268066673576,9.64028687785573e-05,-0.0355660702461811,-5.24555445308403e-05,0.0328891250112142,-0.0281481804621312,false
0.01,0.08,1.00316033065339,-2.56962866503167e-06,-0.0363072080619921,1.65737455199381e-06,0.033150598603502,-0.0320836818593965,false
0.01,0.09,-0.221807497349653,0.97269396456036,0.195319826723848,-0.0128357165181759,0.0264869296989406,-0.0958346527813401,false
0.01,0.1,-1.00424859571457,1.98412575566757e-06,0.0378817774467722,-2.58962728733203e-06,-0.0336369005963881,-0.0398628792612821,false
0.01,0.11,-1.00487882794449,-2.32987912641985e-06,0.0383678911464675,2.64876818336722e-06,-0.0334927640636897,-0.0436922586441345,false
0.01,0.12,-1.00561439897732,1.44381520806781e-06,0.0395770299982095,-1.47704747658105e-06,-0.0339663359410475,-0.0474770839377986,false
0.01,0.13,-1.00641098783521,-4.07644370783306e-06,0.0405317043419017,2.0887138839959e-06,-0.034124412010618,-0.0512100658914055,false
0.01,0.14,-1.00736297805722,5.69404009340463e-06,0.0422647026801065,-2.408750030644e-06,-0.0349054321111081,-0.0548858394172184,false
0.01,0.15,-1.00830204474707,-6.88620493236773e-06,0.0431459194106049,1.98627412844985e-06,-0.0348475613381702,-0.0584998150877609,false
0.01,0.16,-1.00948747613529,6.65198616985747e-06,0.045198898415257,-2.0517986418346e-06,-0.0357151198003156,-0.0620407595227221,false
0.01,0.17,1.08856703420455e-05,-6.12440838503931e-06,1.83893548850102e-05,-7.84993191604215e-05,1.00001549726365,-0.110922279155531,false
0.01,0.18,9.03677765393202e-06,4.52484117147054e-06,1.50948928297689e-05,5.8001326071436e-05,0.999937642801336,-0.0777654491373162,false
0.01,0.19,2.552057113191e-07,7.88768362905121e-07,3.1354978387909e-06,-1.41424344423799e-05,1.00001292233948,-0.0381573673213334,false
0.01,0.2,-0.000118591529219139,-0.000172325470735318,4.16453595241295e-05,-0.000687074741076409,0.999406919141187,-1.17261663578517e-18,true
0.01,0.21,-8.99152630548764e-07,4.08524384310078e-07,-5.90575199165361e-06,-6.19785442528249e-06,1.00001189826101,-0.0439036626261831,false
0.01,0.22,0.0309017675204742,0.0398729452785439,-0.00519997956245833,0.628103871040732,0.385193957693306,-0.0772118371159432,false
0.01,0.23,5.09661049329061e-06,4.34085990898279e-06,-1.58572731512088e-05,0.999957926384543,6.47441697572706e-05,-0.0626873875816696,false
0.01,0.24,1.35561763743982e-06,3.49887377035175e-07,1.043162449447e-05,1.00000198324267,-1.03239364329232e-05,-0.0295249028235996,false
0.01,0.25,5.11431157099992e-06,-0.000122733937977007,0.00586416864396427,0.991091289156972,0.00464889801392761,-2.68264345378808e-19,true
0.01,0.26,1.51813446406104e-07,2.33584349321247e-06,1.62050757805347e-05,0.999979077630358,9.80710580857865e-06,-0.0329673411043713,false
0.01,0.27,0.0704967826585047,0.0074719441284557,0.35701227984114,0.676193251827752,-0.0108333006423449,-0.088676539104843,false
