zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,power,test_FLAG
0.01,1,1,0,0,0,0,0,-0,1
0.02,1,1,0,0,0,0,0,-0,1
0.03,1,1,0,0,0,0,0,-0,1
0.03,0.99,0.996824038726582,0.00357667260341815,-0.000524599314015147,0.000214517921513989,-0.000114014919398031,2.59075364700375e-05,-7.68842777532653e-08,1
0.04,1,1,0,0,0,0,0,-0,1
0.04,0.99,0.997359033080042,0.00254845696272275,0.000150577871663839,-2.46596680879743e-05,-2.97405431988777e-05,-1.14516415288e-06,-7.44829667262012e-08,1
0.05,1,1,0,0,0,0,0,-0,1
0.06,1,1,0,0,0,0,0,-0,1
0.07,1,1,0,0,0,0,0,-0,1
0.07,0.98,0.991693369116934,0.00981806289888884,-0.00152487369478945,0.000115114338711905,-0.000141272067722724,4.21736959354299e-05,-0,1
0.08,1,1.00011020173052,-1.11314501626257e-06,-7.57240043547384e-05,-0.000125426764963469,8.74069079334261e-05,7.12762513844664e-06,-4.86168576815716e-07,1
0.08,0.98,0.992724961568063,0.00879853099451248,-0.0018335255757771,0.000344659984407844,-5.42185278286617e-05,2.21658870520658e-05,-1.81390670008697e-07,1
0.09,0.99,0.998080765328948,0.00155115362001192,-2.0358931977755e-05,0.000745527587612144,-0.000378720020106643,2.41549692053397e-05,-3.05774294968496e-08,1
0.09,0.98,0.991411792342523,0.00990033794913074,-0.00104934842947578,-0.000134287327215256,-0.000219174006248848,9.32537517694805e-05,-3.0578866977537e-09,1
0.09,0.97,0.990687972353809,0.0105314119729039,-0.00166351939239514,0.00050900015727475,-3.80033477186671e-05,-2.42341078969939e-05,-1.58029937335612e-08,1
0.1,1,1.00000091877416,8.31532344204169e-07,6.57095960733308e-07,3.9621462108292e-07,4.97468382235597e-08,-3.81017270455348e-07,-0,1
0.11,1,1.00000091896633,8.31527543862938e-07,6.57022687612769e-07,3.96035890866378e-07,4.96742764123935e-08,-3.8088007426802e-07,-0,1
0.11,0.99,0.998963604138974,-7.15764539472033e-05,0.000960512738633309,0.000451174313976153,-0.000307511713050493,6.31949584246513e-06,-9.15303998185198e-08,1
0.11,0.98,0.993792612527834,0.00663160986891214,-0.000669029258983967,0.000702504043889208,-0.000627966639749137,0.000172843715937318,-1.10636547028834e-07,1
0.11,0.97,0.991112754879124,0.00973485940712447,-0.00148169567093313,0.0010775597312708,-0.00054190293038748,0.000101052231272093,-3.35322053025477e-21,1
0.12,1,1.00000091896614,8.31527767724689e-07,6.57022213027557e-07,3.96036360445247e-07,4.96739444430523e-08,-3.80879776605284e-07,-0,1
0.12,0.99,0.999703757323503,-0.00190624699602674,0.00278117429882396,-0.000529421271563053,4.38765211461866e-06,-5.11284660265845e-05,-0,1
0.12,0.98,0.994313624445001,0.00467109299879997,0.00213867738486178,-0.00136621790403955,0.000283620081044115,-3.82227439760724e-05,-7.26273290927568e-08,1
0.12,0.97,0.989639691403712,0.0114660676437695,-0.0010381385458197,-0.000242661145159109,0.000343056982851495,-0.0001653888179553,-6.89708866282086e-07,1
0.12,0.96,0.988115915979353,0.0125067839906962,-0.000679612125728102,0.000143802976026442,-0.000113429746376635,2.9221615565587e-05,-4.18536348165175e-08,1
0.13,1,1.000000918966,8.31528027435238e-07,6.57021736976555e-07,3.96036851012922e-07,4.96734708998534e-08,-3.8087943690012e-07,-0,1
0.13,0.99,0.999701503507022,-0.0012710030779591,0.00149456067010153,0.000334415989897832,-0.000234564169963317,-2.23903790305304e-05,-0,1
0.13,0.98,0.994360707553446,0.00541922136746976,0.000447760588990439,9.8537313170867e-05,-0.000531005174812029,0.000207352637317762,-4.90155394340021e-09,1
0.13,0.96,0.986395178487871,0.0156448189813973,-0.00249946970704987,0.000672471658347031,-0.00032229617498824,0.000111979506337675,-2.34264265480641e-07,1
0.14,1,1.0000009189659,8.31528316568316e-07,6.5702126027737e-07,3.96037356993533e-07,4.96728837346878e-08,-3.80879061757025e-07,-0,1
