zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.07,1.03,1.00777841953816,-0.00849641426679064,0.000979007836527668,-0.000405518064653623,0.000272377709917387,-0.000125541858520763,1.06628814892227e-19
0.07,1.04,1.0092824666206,-0.00978490471394734,0.00087082320844754,-0.000387717527136323,5.33202316560372e-05,-3.17022026289511e-05,0
0.08,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.76667355548201e-19
0.08,1.02,1.00615507685302,-0.00596409880419108,-0.0001255323229254,-0.000221721079487369,-9.90589319151388e-05,0.000257711770920418,5.11218659039895e-19
0.08,1.03,1.00596370675934,-0.00588141271639041,-0.000237682991565716,0.000310552869805797,2.02442637206489e-05,-0.000173076753903749,3.27380289869759e-19
0.08,1.04,1.00918869572321,-0.0097455492748952,0.00104264631270123,-0.000451444097717916,-7.2414060784113e-05,4.03509333911292e-05,0
0.09,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.57037708718313e-19
0.09,1.02,1.00365111462412,-0.00305914275735642,0.000176205590066678,-0.00145509595159417,0.000791511140146172,-0.000102216803671675,0
0.09,1.03,1.00810180517976,-0.00890704835250644,0.000907586957802645,-0.000357869262423535,0.000541250638371536,-0.000283394622647059,1.96817809169252e-20
0.09,1.04,1.007976873868,-0.00821452390126154,0.00100943624262348,-0.000953203501415458,0.000258341025252018,-7.46381257509034e-05,0
0.09,1.05,1.01148563880428,-0.0121718378970953,0.00119738347815893,-0.000617021660876033,0.000189116170890088,-8.10361012005662e-05,7.77030744490253e-20
0.1,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.41333980572847e-19
0.1,1.02,1.01097583290572,-0.0136433683114718,0.0024169807889967,-6.58824606045755e-05,0.000556788409801522,-0.000237973715323699,3.79979682038646e-19
0.1,1.03,1.01385182942107,-0.0164336625348025,0.00231306643089774,-3.95402373244331e-05,0.000413885906640027,-0.000103247893146704,5.08465414117609e-20
0.1,1.04,1.01019139868272,-0.0109934763163924,0.00124153472325306,-0.00056872577935567,0.000136498759094316,-4.94345123964615e-06,1.94766022446133e-19
0.11,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.28485468664365e-19
0.11,1.02,1.00667537697115,-0.00805932121371485,0.00141079356797021,0.000471162822646596,-0.000726612014458655,0.000230977247430326,2.83111443169289e-19
0.11,1.03,1.00749094529684,-0.00796256743752601,0.00159940072325192,-0.00159539490129925,0.000307078218489452,0.000162867584710586,0
0.11,1.04,1.01179794869478,-0.0131982508723437,0.00153441588999201,-0.000451583605442276,0.000586952591281355,-0.000267197118233544,0
0.11,1.06,1.01332560497644,-0.014125090126981,0.00148323474891492,-0.000861345686038678,0.000330134533197794,-0.000150338985431913,0
0.12,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.17778370552037e-19
0.12,1.01,1.0004324518985,-0.000615297679007082,0.00138727371367611,-0.000853118425513416,-0.000871036357192494,0.000522150731725612,7.51484350642959e-20
0.12,1.05,1.00887446716685,-0.00759301678683457,-0.00163033088770409,0.000807300771464886,-0.00057790882438402,0.00012173160956656,1.73789734517058e-19
0.13,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.08718514855619e-19
0.13,1.02,1.00082766832683,0.000306355248135132,-0.000868024010706978,-0.000985373791386059,0.00150453782053632,-0.000782788279699436,0
0.13,1.04,1.01115979421917,-0.0110951715344605,-0.000218419206955663,0.000279603511661055,-0.000510880204108286,0.000387360206890785,2.42192373481292e-19
0.13,1.07,1.01602802040322,-0.0170565297594799,0.00179992167135346,-0.000983527202185021,0.000279413184319051,-6.51372814848956e-05,4.8069863463059e-20
0.14,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,1.00952921743402e-19
0.14,1.01,1.00349825156443,-0.00644018053445439,0.00462529659818032,-0.00138822795621411,-0.00054796933034945,0.000255251678801241,0
0.14,1.02,1.0008637557912,-0.00042469383208296,0.000840080641780535,-0.00202715690177514,0.00119448162155358,-0.000444089587288565,3.08219272200006e-19
0.14,1.04,1.00750359399463,-0.00637224375481412,-0.000526840293711183,-0.00124524476240116,0.000724338943642251,-8.13177121421267e-05,1.35060430958728e-19
0.14,1.05,1.01431961777507,-0.0161080498714798,0.0021344401484116,-0.000782829228844134,0.000771096095839868,-0.000332033411436648,0
