zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.11,0.585,1.169626019,-0.216519543,0.015463124,-0.050118795,FALSE
0.11,0.61,1.164616823,-0.201785627,0.009916996,-0.048602437,FALSE
0.11,0.635,1.114703139,-0.104503265,-0.02611009,-0.041766248,FALSE
0.11,0.66,1.153820251,-0.174534053,0.001182617,-0.043361757,FALSE
0.11,0.685,1.147991001,-0.161763796,-0.002451097,-0.040088241,FALSE
0.11,0.71,1.141624527,-0.148980392,-0.005956118,-0.036627412,FALSE
0.11,0.735,1.133887784,-0.134681415,-0.009919163,-0.03301085,FALSE
0.11,0.76,1.118019575,-0.10776071,-0.018090691,-0.028275007,FALSE
0.11,0.785,1.107140386,-0.091754268,-0.017737649,-0.032915909,FALSE
0.11,0.81,1.096743134,-0.080860678,-0.015972365,-0.038052173,FALSE
0.11,0.835,1.084761564,-0.07021948,-0.014541863,-0.042482598,FALSE
0.11,0.86,1.072903288,-0.059408629,-0.013494163,-0.04579505,FALSE
0.11,0.885,0.98992986,0.012390693,-0.002317973,-0.027813338,FALSE
0.11,0.91,0.98788028,0.013319138,-0.001196753,-0.013619263,FALSE
0.11,0.935,0.987476548,0.0124105,0.000115676,-0.001797621,FALSE
0.11,0.96,0.995347493,0.002570155,0.002084998,-0.000222314,FALSE
0.135,0.46,1.202122148,-0.279261274,0.077140652,-0.041954867,FALSE
0.135,0.535,1.182553202,-0.252918758,0.03528003,-0.046569264,FALSE
0.135,0.56,1.177740369,-0.237743218,0.026381455,-0.04745728,FALSE
0.135,0.585,1.161107853,-0.1985704,0.006406077,-0.052733707,FALSE
0.135,0.61,1.167893819,-0.207842608,0.013225251,-0.046581449,FALSE
0.135,0.635,1.162598695,-0.19382101,0.008197238,-0.044835474,FALSE
0.135,0.66,1.157059289,-0.180454488,0.003860103,-0.042426657,FALSE
0.135,0.685,1.15127715,-0.167667454,2.71E-05,-0.039560903,FALSE
0.135,0.71,1.145080682,-0.155054309,-0.003567141,-0.036432661,FALSE
0.135,0.735,1.137816704,-0.141406895,-0.007424044,-0.033117898,FALSE
0.135,0.76,1.127748836,-0.123840371,-0.012551318,-0.029458546,FALSE
0.135,0.785,1.112864564,-0.099831912,-0.017007041,-0.029948756,FALSE
0.135,0.81,1.101798215,-0.086155002,-0.01625236,-0.034639698,FALSE
0.135,0.835,1.08779994,-0.071854838,-0.015944997,-0.038776108,FALSE
0.135,0.86,1.083409816,-0.072281937,-0.011127497,-0.044692671,FALSE
0.135,0.885,1.066465327,-0.053458257,-0.013006427,-0.045164669,FALSE
0.135,0.91,0.984520061,0.015744431,-0.000261724,-0.006130308,FALSE
0.135,0.935,0.987609847,0.010944119,0.001448809,-0.000359341,FALSE
0.135,0.96,0.997806466,-0.000951585,0.003147759,-0.000254264,FALSE
0.16,0.46,1.202197512,-0.278942752,0.076746749,-0.041343005,FALSE
0.16,0.535,1.186329516,-0.2575276,0.040255654,-0.04318963,FALSE
0.16,0.56,1.116168489,-0.112745969,-0.030343409,-0.055109234,FALSE
0.16,0.585,1.176126163,-0.228308759,0.022902736,-0.044895468,FALSE
0.16,0.61,1.171061692,-0.213718207,0.016531261,-0.04453706,FALSE
0.16,0.635,1.165761635,-0.199694105,0.011166236,-0.043330713,FALSE
0.16,0.66,1.160238616,-0.186299338,0.006559985,-0.041408481,FALSE
0.16,0.685,1.154464024,-0.173424322,0.002490994,-0.038956262,FALSE
0.16,0.71,1.148406869,-0.160936237,-0.00121057,-0.036158232,FALSE
0.16,0.735,1.141047948,-0.14696784,-0.005311818,-0.03307971,FALSE
0.16,0.76,1.133377682,-0.13327539,-0.009196402,-0.029931505,FALSE
0.16,0.785,1.114802071,-0.102523898,-0.018167174,-0.026360652,FALSE
0.16,0.81,1.106253586,-0.091259396,-0.016524172,-0.031373655,FALSE
0.16,0.835,1.096045092,-0.081141656,-0.014908298,-0.036154904,FALSE
0.16,0.86,0.981634172,0.020447968,-0.002079387,-0.02386889,FALSE
0.16,0.885,0.980485068,0.02054594,-0.001028191,-0.010479095,FALSE
0.16,0.91,1.064481919,-0.053431043,-0.011050117,-0.044735098,FALSE
0.16,0.935,0.988292127,0.008943257,0.002767429,-2.05E-05,FALSE
0.16,0.96,0.999934941,-0.004132668,0.004200367,-0.000216619,FALSE
0.185,0.46,1.202269332,-0.278635034,0.076367194,-0.040754468,FALSE
0.185,0.535,1.190305084,-0.261436531,0.04531121,-0.040107398,FALSE
0.185,0.56,1.184323705,-0.24814523,0.034905707,-0.041500888,FALSE
0.185,0.585,1.179205566,-0.233781742,0.026622659,-0.042363529,FALSE
0.185,0.61,1.174114185,-0.219387159,0.019833709,-0.04247973,FALSE
0.185,0.635,1.168827124,-0.205413142,0.014135187,-0.04177332,FALSE
0.185,0.66,1.163322888,-0.192000141,0.009254357,-0.040317956,FALSE
0.185,0.685,1.157606022,-0.179137513,0.004984716,-0.038268007,FALSE
0.185,0.71,1.151622237,-0.166658933,0.001124723,-0.035802988,FALSE
0.185,0.735,1.145186902,-0.15416742,-0.002567513,-0.033076553,FALSE
0.185,0.76,1.097345533,-0.074508343,-0.028871784,-0.024417746,FALSE
0.185,0.785,1.126198177,-0.121046209,-0.01245844,-0.026725096,FALSE
0.185,0.81,1.112213378,-0.099370411,-0.015658104,-0.028712021,FALSE
0.185,0.835,1.101867697,-0.087433797,-0.014714019,-0.033269294,FALSE
0.185,0.86,1.089246324,-0.07506124,-0.014184938,-0.037203744,FALSE
0.185,0.885,0.976001905,0.024354839,-0.000353811,-0.003916967,FALSE
0.185,0.91,0.977648051,0.020612742,0.00174219,0,TRUE
0.185,0.935,0.991366931,0.004666531,0.003969338,-6.80E-05,FALSE
0.185,0.96,1.002139045,-0.007349044,0.005212635,-0.000218645,FALSE
0.21,0.46,1.202337289,-0.278336219,0.076000406,-0.040187772,FALSE
0.21,0.535,1.194588817,-0.264589355,0.050462088,-0.037308979,FALSE
0.21,0.56,1.187649571,-0.252599335,0.03922971,-0.038802034,FALSE
0.21,0.585,1.182202526,-0.238920857,0.030356012,-0.039919064,FALSE
0.21,0.61,1.120189877,-0.114853987,-0.023602616,-0.043536108,FALSE
0.21,0.635,1.171788125,-0.21095338,0.017102293,-0.040159178,FALSE
0.21,0.66,1.166318229,-0.197564258,0.011951511,-0.039149294,FALSE
0.21,0.685,1.160636562,-0.184677813,0.007457246,-0.037499244,FALSE
0.21,0.71,1.154726826,-0.172217104,0.003437222,-0.035368524,FALSE
0.21,0.735,1.148481209,-0.159927712,-0.000311022,-0.032915953,FALSE
0.21,0.76,1.141505265,-0.147072153,-0.004125694,-0.03024963,FALSE
0.21,0.785,1.132478978,-0.131434895,-0.008810242,-0.027304248,FALSE
0.21,0.81,1.115760103,-0.104309869,-0.015847696,-0.02576018,FALSE
0.21,0.835,1.107022719,-0.093415392,-0.014542413,-0.030452112,FALSE
0.21,0.86,0.972511601,0.028244852,-0.000753466,-0.007959441,FALSE
0.21,0.885,0.974402752,0.024356879,0.001243397,-0.001093325,FALSE
0.21,0.91,1.076022296,-0.064924509,-0.011097258,-0.0411209,FALSE
0.21,0.935,1.070787701,-0.062836961,-0.007949982,-0.043531095,FALSE
0.21,0.96,1.00444129,-0.01061488,0.006176219,-0.000259325,FALSE
