zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.11,0.56,1.174345364,-0.231932593,0.022145792,-0.050673811,FALSE
0.11,0.585,1.169626037,-0.216519583,0.015463146,-0.050118783,FALSE
0.11,0.61,1.164616788,-0.201785558,0.009916962,-0.048602449,FALSE
0.11,0.635,1.159343881,-0.187808565,0.005231223,-0.046278149,FALSE
0.11,0.66,1.153820217,-0.174533988,0.00118259,-0.043361759,FALSE
0.11,0.685,1.147991655,-0.161764991,-0.002450624,-0.040088298,FALSE
0.11,0.71,1.141623663,-0.148978856,-0.005956687,-0.036627315,FALSE
0.11,0.735,1.133880443,-0.134668784,-0.009923598,-0.03300979,FALSE
0.11,0.76,1.118016868,-0.107756304,-0.01809241,-0.028274215,FALSE
0.11,0.785,1.105650707,-0.08944876,-0.018523857,-0.032596911,FALSE
0.11,0.81,1.095859767,-0.079527772,-0.016421611,-0.037834504,FALSE
0.11,0.835,1.084046023,-0.069165638,-0.014880164,-0.04230438,FALSE
0.11,0.86,1.072400743,-0.058698327,-0.013701918,-0.04568063,FALSE
0.11,0.885,1.047645764,-0.031462679,-0.016182195,-0.045641575,FALSE
0.11,0.91,1.033529325,-0.018670201,-0.014857902,-0.043326606,FALSE
0.11,0.935,0.986404895,0.013800908,-0.000203069,-0.001448573,FALSE
0.135,0.46,1.202122732,-0.279261586,0.077140381,-0.041955045,FALSE
0.135,0.51,1.188387701,-0.266828403,0.046621746,-0.04505981,FALSE
0.135,0.535,1.182553186,-0.252918734,0.035280008,-0.046569276,FALSE
0.135,0.56,1.177730026,-0.237723559,0.026367806,-0.047464843,FALSE
0.135,0.585,1.17293791,-0.22254032,0.019185153,-0.047484868,FALSE
0.135,0.61,1.167893081,-0.207841113,0.013224487,-0.046581749,FALSE
0.135,0.635,1.162598732,-0.193821087,0.008197272,-0.044835463,FALSE
0.135,0.66,1.157068898,-0.180472876,0.003867914,-0.042425843,FALSE
0.135,0.685,1.151186343,-0.167498485,-3.99E-05,-0.039560153,FALSE
0.135,0.71,1.145079221,-0.155051676,-0.003568125,-0.036432515,FALSE
0.135,0.735,1.138006016,-0.141736151,-0.007306414,-0.033142695,FALSE
0.135,0.76,1.127962282,-0.124196695,-0.012428908,-0.029490066,FALSE
0.135,0.785,1.11119184,-0.097178951,-0.017975948,-0.029522671,FALSE
0.135,0.81,1.101400365,-0.085550624,-0.016457092,-0.034550815,FALSE
0.135,0.835,1.089906935,-0.074899968,-0.015006866,-0.039146879,FALSE
0.135,0.86,1.054824687,-0.034370931,-0.020453177,-0.042090542,FALSE
0.135,0.885,1.067992432,-0.055557047,-0.012434749,-0.045475468,FALSE
0.135,0.91,1.056274349,-0.044585604,-0.011687848,-0.045690944,FALSE
0.135,0.935,0.986104116,0.012532761,0.001365924,-8.62E-05,FALSE
0.16,0.46,1.202197435,-0.278942709,0.076746782,-0.041342984,FALSE
0.16,0.51,1.193572368,-0.269725217,0.052658019,-0.041587541,FALSE
0.16,0.535,1.186461913,-0.257396943,0.040303155,-0.043258882,FALSE
0.16,0.56,1.181045614,-0.243170306,0.030628654,-0.044393973,FALSE
0.16,0.585,1.176124359,-0.228305212,0.022900542,-0.044896572,FALSE
0.16,0.61,1.171060719,-0.213716273,0.016530224,-0.044537494,FALSE
0.16,0.635,1.165761532,-0.199693979,0.011166134,-0.04333069,FALSE
0.16,0.66,1.160238312,-0.186298752,0.006559729,-0.041408526,FALSE
0.16,0.685,1.15448367,-0.17346121,0.002505971,-0.038955766,FALSE
0.16,0.71,1.148407633,-0.160937625,-0.001210046,-0.036158275,FALSE
0.16,0.735,1.141367442,-0.147526794,-0.005108715,-0.033113954,FALSE
0.16,0.76,1.133382265,-0.133283153,-0.009193703,-0.02993217,FALSE
0.16,0.785,1.115267938,-0.103271844,-0.017903066,-0.026451881,FALSE
0.16,0.81,1.106736168,-0.092002944,-0.016267918,-0.031474046,FALSE
0.16,0.835,1.096035529,-0.081127357,-0.014913033,-0.036152743,FALSE
0.16,0.86,1.082696132,-0.068191824,-0.014504045,-0.039847168,FALSE
0.16,0.885,1.070589457,-0.056828909,-0.013760016,-0.042627111,FALSE
0.16,0.91,1.033779369,-0.015856326,-0.017921948,-0.040513004,FALSE
0.16,0.935,0.990555406,0.006733664,0.002713696,-0.000407589,FALSE
0.185,0.46,1.202266386,-0.278631077,0.076366185,-0.040755499,FALSE
0.185,0.51,1.19913823,-0.271794261,0.058770588,-0.03843758,FALSE
0.185,0.535,1.190305885,-0.261435795,0.045311488,-0.040107766,FALSE
0.185,0.56,1.184323759,-0.248145178,0.034905732,-0.041500921,FALSE
0.185,0.585,1.179205957,-0.233782513,0.02662316,-0.042363278,FALSE
0.185,0.61,1.174114044,-0.219386884,0.019833552,-0.042479794,FALSE
0.185,0.635,1.168826978,-0.205412858,0.014135044,-0.041773364,FALSE
0.185,0.66,1.163324906,-0.192004039,0.009256113,-0.040317597,FALSE
0.185,0.685,1.157605974,-0.179137423,0.004984678,-0.03826801,FALSE
0.185,0.71,1.151621717,-0.166657983,0.001124354,-0.03580297,FALSE
0.185,0.735,1.145118869,-0.154047242,-0.002612108,-0.033070786,FALSE
0.185,0.76,1.137708512,-0.140600765,-0.006528184,-0.03015467,FALSE
0.185,0.785,1.126067701,-0.120831335,-0.012531437,-0.026706189,FALSE
0.185,0.81,1.111583004,-0.09837877,-0.016018745,-0.02855617,FALSE
0.185,0.835,1.101781421,-0.087302638,-0.014758865,-0.033249508,FALSE
0.185,0.86,1.090816107,-0.077365821,-0.013450142,-0.037517666,FALSE
0.185,0.885,1.044747815,-0.023343524,-0.02140355,-0.039887638,FALSE
0.185,0.91,1.0335232,-0.014122431,-0.019399727,-0.039248223,FALSE
0.185,0.935,0.992887565,0.003251909,0.003863291,-0.00035645,FALSE
0.21,0.46,1.202337274,-0.278336199,0.076000401,-0.040187777,FALSE
0.21,0.51,1.205475336,-0.272773324,0.065053871,-0.035666392,FALSE
0.21,0.535,1.19458881,-0.264589349,0.050462079,-0.037308983,FALSE
0.21,0.56,1.187647761,-0.252601159,0.039228991,-0.038800962,FALSE
0.21,0.585,1.182202535,-0.238920884,0.030356027,-0.039919053,FALSE
0.21,0.61,1.177057007,-0.224822313,0.023135698,-0.040420212,FALSE
0.21,0.635,1.171754611,-0.210887223,0.017068064,-0.040172036,FALSE
0.21,0.66,1.166317965,-0.197563742,0.011951271,-0.039149351,FALSE
0.21,0.685,1.160639941,-0.184684207,0.007459978,-0.037498926,FALSE
0.21,0.71,1.154736585,-0.172235096,0.003444397,-0.03536854,FALSE
0.21,0.735,1.148481321,-0.159927911,-0.000310947,-0.032915961,FALSE
0.21,0.76,1.141491754,-0.147048809,-0.004134111,-0.030248143,FALSE
0.21,0.785,1.132435669,-0.131362655,-0.008835281,-0.02729834,FALSE
0.21,0.81,1.115699967,-0.104214018,-0.015882913,-0.025746888,FALSE
0.21,0.835,1.10591719,-0.091718924,-0.015129624,-0.03022302,FALSE
0.21,0.86,1.055679613,-0.030776111,-0.024903116,-0.036093463,FALSE
0.21,0.885,1.085630663,-0.073271561,-0.012358812,-0.038440007,FALSE
0.21,0.91,1.075650782,-0.06439207,-0.01125818,-0.041032541,FALSE
0.21,0.935,0.9952193,-0.000176923,0.004960386,-0.000339984,FALSE
0.235,0.46,1.202397785,-0.27804027,0.075643947,-0.03964234,FALSE
0.235,0.51,1.203174706,-0.271380958,0.068207403,-0.033714942,FALSE
0.235,0.535,1.199265457,-0.266960428,0.05571677,-0.034792285,FALSE
0.235,0.56,1.191096991,-0.256484996,0.043614379,-0.036304007,FALSE
0.235,0.585,1.185160916,-0.243662898,0.034111317,-0.03757253,FALSE
0.235,0.61,1.179897252,-0.229991859,0.026439379,-0.03837732,FALSE
0.235,0.635,1.174643467,-0.216301867,0.020065758,-0.038511536,FALSE
0.235,0.66,1.169216281,-0.202970926,0.014645167,-0.037911972,FALSE
0.235,0.685,1.163559782,-0.190048956,0.009911144,-0.036654834,FALSE
0.235,0.71,1.157757217,-0.17767729,0.005754453,-0.034855775,FALSE
0.235,0.735,1.151637152,-0.165484536,0.001905741,-0.032681925,FALSE
0.235,0.76,1.144965728,-0.153013551,-0.001878995,-0.030249609,FALSE
0.235,0.785,1.137097664,-0.139152035,-0.006038222,-0.027601159,FALSE
0.235,0.81,1.12286577,-0.115532884,-0.013433597,-0.024168054,FALSE
0.235,0.835,1.111977286,-0.099722886,-0.014170794,-0.027824458,FALSE
0.235,0.86,1.056053101,-0.029773128,-0.026279649,-0.03431729,FALSE
0.235,0.885,1.091187309,-0.078920204,-0.012266922,-0.03598982,FALSE
0.235,0.91,0.983329095,0.011956828,0.004717066,-7.33E-19,TRUE
0.235,0.935,0.997606478,-0.003612557,0.006008837,-0.000360348,FALSE
0.26,0.46,1.2024561,-0.277752844,0.07529819,-0.039114726,FALSE
0.26,0.51,1.203182234,-0.271148645,0.067967553,-0.033339845,FALSE
0.26,0.535,1.204409522,-0.268542158,0.061078561,-0.032512567,FALSE
0.26,0.56,1.194751046,-0.25976167,0.048074945,-0.034009036,FALSE
0.26,0.585,1.188131585,-0.247978828,0.037904831,-0.035360715,FALSE
0.26,0.61,1.182657758,-0.234860421,0.029751968,-0.036371005,FALSE
0.26,0.635,1.177393962,-0.22143136,0.023025591,-0.036837156,FALSE
0.26,0.66,1.172014362,-0.208209074,0.017332743,-0.036617634,FALSE
0.26,0.685,1.166448761,-0.195388679,0.01240828,-0.035726351,FALSE
0.26,0.71,1.160685203,-0.182984469,0.008055442,-0.034265569,FALSE
0.26,0.735,1.154678818,-0.170873424,0.00409608,-0.03237119,FALSE
