zeta,omega_ratio,solution_1,solution_2,solution_3
0.2,1.04,1.000341284,0.004212356,-0.004551354
0.2,1.05,1.012175318,-0.012451649,0.000278573
0.2,1.06,1.016268048,-0.017566427,0.001300582
0.2,1.07,1.016762659,-0.017235313,0.000474814
0.2,1.08,1.019296239,-0.020074459,0.000780342
0.2,1.09,1.022096423,-0.023285178,0.001190837
0.21,1,1.000000824,8.24E-07,8.24E-07
0.21,1.01,1.001308465,-0.000699932,-0.00060611
0.21,1.02,1.002093056,-0.000743561,-0.001347118
0.21,1.03,1.001174181,0.001842414,-0.003014265
0.21,1.04,0.998783983,0.006490351,-0.005272047
0.21,1.05,1.003735341,0.000212202,-0.0039453
0.21,1.06,1.00541893,-0.001205509,-0.004211222
0.21,1.07,1.018677808,-0.02004299,0.001367339
0.21,1.08,1.019787668,-0.020729461,0.000943911
0.21,1.09,1.021603869,-0.022555632,0.000953847
0.21,1.1,1.023081668,-0.023812689,0.000733065
0.22,1,1.000000824,8.24E-07,8.24E-07
0.22,1.01,1.001478622,-0.000939658,-0.000536542
0.22,1.02,1.002574338,-0.001422869,-0.001149093
0.22,1.03,1.003054616,-0.000974525,-0.002077761
0.22,1.04,1.00198337,0.00167195,-0.003653032
0.22,1.05,1.004745319,-0.001257525,-0.003485553
0.22,1.06,1.0048641,-0.000443899,-0.004418
0.22,1.07,1.011278426,-0.009018511,-0.002257755
0.22,1.08,1.012099362,-0.009217816,-0.002879427
0.22,1.09,1.024869146,-0.027400851,0.002533786
0.22,1.1,1.024142705,-0.025402782,0.001262122
0.23,1,1.000000824,8.24E-07,8.24E-07
0.23,1.01,1.001476745,-0.00099526,-0.000479061
0.23,1.02,1.002776295,-0.001735198,-0.00103872
0.23,1.03,1.003680646,-0.001882235,-0.001796083
0.23,1.04,1.003835727,-0.001012054,-0.002821388
0.23,1.05,1.003369582,0.000765783,-0.004133123
0.23,1.06,1.004139572,0.00061598,-0.00475335
0.23,1.07,1.010039455,-0.007119685,-0.002917611
0.23,1.08,1.012318189,-0.009545987,-0.002770082
0.23,1.09,1.021941377,-0.023076409,0.001137116
0.23,1.1,1.022923862,-0.023555739,0.000633921
0.23,1.11,1.023492116,-0.023423372,-6.67E-05
0.24,1,1.000000824,8.24E-07,8.24E-07
0.24,1.01,1.001301388,-0.000654806,-0.000644161
0.24,1.02,1.002232653,-0.000977928,-0.001252346
0.24,1.03,1.002911319,-0.000696715,-0.002212277
0.24,1.04,1.003124672,3.94E-05,-0.003161827
0.24,1.05,1.002935891,0.001439177,-0.004372827
0.24,1.06,1.009082201,-0.006792889,-0.002287109
0.24,1.07,1.010417403,-0.007733728,-0.002681514
0.24,1.08,1.011589686,-0.008439516,-0.003148051
0.24,1.09,1.013571585,-0.010450416,-0.003119089
0.25,1,1.000000824,8.24E-07,8.24E-07
0.25,1.01,1.001042293,-0.0003859,-0.000653967
0.25,1.02,1.002036315,-0.000627542,-0.001406396
0.25,1.03,1.00261639,-0.000253002,-0.00236106
0.25,1.04,1.00286708,0.00038028,-0.003245073
0.25,1.05,1.002995349,0.001371784,-0.004364893
0.25,1.06,1.002785343,0.002658644,-0.005441785
0.25,1.07,1.007842423,-0.0038163,-0.004023964
0.25,1.08,1.009399288,-0.005232823,-0.004164343
0.25,1.09,1.021271462,-0.021999736,0.000730354
0.25,1.1,1.021828827,-0.021868719,4.19E-05
0.25,1.11,1.024742447,-0.025286468,0.000546026
0.25,1.12,1.026767747,-0.027480254,0.000714478
0.26,1,1.000000824,8.24E-07,8.24E-07
0.26,1.01,1.000760501,0.000182429,-0.00094051
0.26,1.02,1.001437973,0.000305574,-0.001741172
0.26,1.03,1.001967483,0.000638683,-0.002603836
0.26,1.04,1.002395514,0.00109725,-0.003490477
0.26,1.05,1.002599576,0.001918458,-0.004515792
0.26,1.06,1.002767572,0.002742711,-0.005508084
0.26,1.07,1.00485909,0.000692892,-0.005549826
0.26,1.08,1.014876882,-0.013411686,-0.001463077
0.26,1.09,1.016021831,-0.014112014,-0.001907737
0.26,1.1,1.016601347,-0.013977717,-0.002621591
0.26,1.11,1.023911927,-0.024027933,0.00011801
0.26,1.12,1.025333843,-0.025388765,5.69E-05
0.27,1,1.000000824,8.24E-07,8.24E-07
0.27,1.01,1.000732021,0.000176101,-0.0009057
0.27,1.02,1.001436712,0.000215748,-0.001650081
0.27,1.03,1.002158011,0.000397488,-0.00255317
0.27,1.04,1.000978457,0.003176136,-0.004152304
0.27,1.05,1.0014157,0.003705545,-0.005119003
0.27,1.06,1.002045348,0.003868114,-0.005911264
0.27,1.07,1.003846089,0.00220115,-0.006045082
0.27,1.08,1.013301783,-0.010970229,-0.002329437
0.27,1.09,1.014288335,-0.011555485,-0.002730768
0.27,1.1,1.015456512,-0.012357598,-0.00309687
0.27,1.11,1.027260761,-0.029164706,0.001905954
0.27,1.12,1.028395955,-0.029879405,0.001485419
0.27,1.13,1.028649031,-0.029463857,0.000816765
0.28,1,1.000000824,8.24E-07,8.24E-07
0.28,1.01,1.001103129,-0.000396691,-0.000704015
0.28,1.02,1.001803084,-0.000225734,-0.001574975
0.28,1.03,1.005809592,-0.005074725,-0.000732538
0.28,1.04,1.006461012,-0.004920599,-0.001538129
0.28,1.05,1.00727386,-0.005160555,-0.00211106
