,new_nodes_z,new_nodes_o
0,0.05305776687439431,0.936386948303109
1,0.07489401474218006,0.9178685829976527
2,0.09570021749604699,0.9108820302461059
3,0.11153539977587024,0.8999842513463014
4,0.17363190370617315,0.8297320877634532
5,0.1991096352065087,0.8119939665642345
6,0.22930539810039177,0.7306048982024914
7,0.29395425470989067,0.709560986833258
8,0.31175707339490427,0.7472722718414024
9,0.3328938665658331,0.6848133809218858
10,0.42405662439101516,0.6550512542857676
11,0.44508795181129435,0.6624502385104742
12,0.8818987090259174,0.5190739992482152
13,0.9483125643962956,0.5152500858617277
