,new_nodes_z,new_nodes_o
0,0.032406336024466055,0.9463280369535029
1,0.07355920529507977,0.9168092943565295
2,0.09196402723543304,0.9040385877437432
3,0.11134569009899897,0.8963134779954738
4,0.1390135791499828,0.8168491791663055
5,0.19583908452505136,0.7201343247353325
6,0.2898632942219991,0.7121266163443969
7,0.31965687898373946,0.7163237839287995
8,0.3847874178811564,0.6480314473388671
9,0.4554212537369495,0.588342507473899
10,0.5775520494775669,0.5129163958205352
11,0.8364692519470911,0.514407755841273
