zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,power,test_FLAG
0.01,0.01,-0.999177737238034,0.000110326329002431,-0.000824761876184624,0.000236698765901146,-0.00999218213039266,false
0.01,0.02,-1.00070221268364,0.000117417158017592,0.000699743897561566,0.000230489359846994,-0.0199518590637832,false
0.01,0.03,1.00033727776721,1.23052480371754e-05,-0.00033481343730773,3.219768923724e-05,-0.0298556564973767,false
0.01,0.04,1.00081262709606,-0.000108815181019711,-0.000810160604647121,-0.000229839542731529,-0.0396785178310193,false
0.01,0.05,1.00098250775658,-7.52964469487642e-05,-0.000980047283386107,-0.000171022931690268,-0.0493967122505671,false
0.01,0.06,-1.0021631671941,1.16130831159816e-05,0.0021607367606858,1.7887893375549e-05,-0.0589830580350276,false
0.01,0.07,-1.00357479397996,0.000304886260360815,0.00357236285792329,0.000667793804375394,-0.0684148798845153,false
0.01,0.08,-1.00363828669478,-7.86915419322951e-05,0.00363589476943284,-0.00019543434572977,-0.0776587918617833,false
0.01,0.09,-1.00559752482595,1.0331069118957e-05,0.00559516224731902,2.00654849358655e-05,-0.0866903604306604,false
0.01,0.1,9.32972661353673e-06,7.51195880566743e-06,2.58383701891464e-05,0.999975265544812,-0.137732775449208,false
0.01,0.11,2.92557457670856e-06,3.97293070230344e-06,1.75737419302397e-05,0.999985038697489,-0.0918147344395618,false
0.01,0.12,1.29823728234502e-06,5.37813457769696e-06,1.19343438856155e-05,0.999989391996425,-0.0295257892297613,false
0.01,0.13,5.34298611555933e-06,1.79774050202173e-05,4.6415216529509e-05,0.999953028916952,-0.0329713756880189,false
0.01,0.14,0.0770721326851403,-0.0328451014735808,0.674838467390033,0.382036053984882,-0.103308826854883,false
0.01,0.15,7.2196835266851e-06,-9.70643335206204e-06,1.00001503146273,5.73445574891659e-06,-0.0777843560846846,false
0.01,0.16,-5.7872688634852e-08,-6.06610182643208e-08,1.00002219125169,1.58700428304307e-07,-0.0295278105050384,false
0.01,0.17,3.49228603431355e-07,-3.1281676653746e-07,1.00002190217854,2.26424828575475e-07,-0.0126774248807446,false
0.01,0.18,-2.23204964100176e-06,1.80282426209797e-06,1.00002112536868,-1.4895530844121e-06,-0.0789465255250776,false
0.01,0.19,3.42511683453925e-05,7.44013724815285e-05,0.999971241772045,-1.82721769179075e-05,-0.158268566739904,false
0.01,0.2,-6.78717289117439e-07,0.999996242518718,1.32017012657592e-05,-8.4178948495901e-07,-0.137737712802857,false
0.01,0.21,-1.24550980135918e-05,0.999978295137596,6.11162833923614e-05,5.00327519672304e-05,-0.116798488218033,false
0.01,0.22,2.77246897373085e-06,1.00000390582799,-5.67050181540228e-06,-1.45930227098546e-06,-0.0918198765397473,false
0.01,0.23,4.51754293461946e-06,0.999996499115982,7.45806866680637e-06,-5.56756891682379e-05,-0.0626956121104465,false
0.01,0.24,-1.00362810035568e-06,1.00000227153348,1.41350370091806e-06,-1.55589619796416e-07,-0.0295272370148635,false
0.01,0.25,-0.00701518451275889,0.99445295022078,-0.00409543076003565,1.00577116402078e-05,-3.3199648232596e-19,true
0.01,0.26,-3.04669165710005e-06,1.00000373027678,5.38155844615921e-07,6.2157303466656e-07,-0.0329718193114538,false
0.01,0.27,1.89667530117099e-06,1.00000029561021,2.46545359921771e-06,-9.00693915381473e-07,-0.0789435595096516,false
0.01,0.28,-5.78347016393336e-06,1.000007408547,-4.11303637449826e-06,2.52277209094561e-06,-0.130473671964685,false
0.01,0.29,-7.87620456242301e-06,1.00000636551726,-4.10939607603986e-06,-1.81692932089024e-06,-0.187440196894371,false
0.01,0.3,9.99766171205283e-06,0.999995377505622,4.19610677831601e-06,-2.35781706329469e-06,-0.249982772644092,false
0.01,0.31,-2.07797111105137e-05,1.00000178156904,-4.1152749856349e-07,1.94772158685523e-06,-0.318285060707906,false
0.01,0.32,1.13988909760424,-7.82956566212483e-06,-0.14314041677794,-6.01008374468784e-07,-0.0737453541713512,false
0.01,0.33,1.12873558188101,-7.85113314429689e-06,-0.128894551345924,1.77088342029556e-08,-0.0777249443793072,false
0.01,0.34,1.11609146876891,-2.92320613577535e-06,-0.116091292559327,1.00385025052954e-06,-0.0811945810216308,false
0.01,0.35,-1.10473355627186,-2.85014257009315e-06,0.104733155441661,-2.63428574649063e-07,-0.0844187904116319,false
0.01,0.36,1.09434602672501,0.000673988298256437,-0.0943454213244061,-0.000145155808363419,-0.0874024929291177,false
0.01,0.37,1.08527181605219,-1.07350471657265e-05,-0.0852710301970661,1.36672881869279e-06,-0.0895688744951841,false
0.01,0.38,1.07612925928891,0.00224648852417795,-0.0761282986769799,-0.000409396365630266,-0.0915579992193111,false
0.01,0.39,1.06882835311327,-7.68733917173692e-06,-0.0688272419983268,-6.26544888453135e-09,-0.0918705345576316,false
0.01,0.4,-1.06140390492452,8.02019687210364e-06,0.0614026469586334,-1.09348388224827e-08,-0.091541827073635,false
0.01,0.41,-1.05439449813894,2.96524889320082e-06,0.0543931016537244,-1.77815917795529e-06,-0.0900203300356859,false
0.01,0.42,1.04773208729837,-9.603316571161e-07,-0.0477305589451092,-1.05045445152659e-06,-0.0871674915583682,false
0.01,0.43,-1.0412620157046,-0.000418573208060262,0.0412603630285074,1.36936041534953e-05,-0.0828621481847129,false
0.01,0.44,-1.02155505920505,0.0477407679807715,0.0215524303228192,0.00279814843213364,-0.0742803146974165,false
0.01,0.45,-1.01365041397994,0.00128369067919042,0.0136481929675349,0.000149473157291887,-0.0670734707406395,false
0.01,0.46,1.0080758624521,-0.00027038385880481,-0.00807354567311208,-3.64377506623594e-05,-0.0554260837815555,false
0.01,0.47,-1.00496339724393,2.01755412828291e-05,0.00496102270292744,2.94085129771481e-06,-0.0422850672568335,false
0.01,0.48,-1.00228648708202,-3.96285637182264e-05,0.00228406057244264,-6.83352567096191e-06,-0.0277925199402942,false
