zeta,omega_ratio,solution_1,solution_2,solution_3
0.12,1.01,1.00409786718345,-0.00491593386570064,0.000820490483084782
0.12,1.02,1.01180035447236,-0.0152898276738204,0.00349185032630943
0.12,1.03,1.00272692566901,-0.000480962179744702,-0.00224363378091591
0.12,1.04,1.0138667360806,-0.0161156063384686,0.00225115743329011
0.12,1.05,1.01191260854938,-0.0120716005037749,0.000161235108941143
0.13,0.94,0.98403153806926,0.015704845770034,0.000266414936227783
0.13,0.95,0.982526925288379,0.0194767435176654,-0.00200092996071293
0.13,0.96,0.988972666613719,0.0112293678130404,-0.000199351806394142
0.13,0.97,0.990238262771182,0.0106772398241288,-0.000912873231154905
0.13,0.98,0.988675960282807,0.0143885536413542,-0.00306193867134133
0.13,0.99,1.00476720634825,-0.00844105223975595,0.00367636942471405
0.13,1,1.00203316514549,-0.00308767568876418,0.00105698453695561
0.13,1.01,1.00565893421099,-0.00730269475064192,0.00164618612636493
0.13,1.02,1.00605170580417,-0.00664262283543796,0.000593293199779812
0.13,1.03,1.01130330997666,-0.013389282660649,0.00208830411944294
0.13,1.04,1.01429366093991,-0.0167093614657779,0.00241798585640944
0.13,1.05,1.00940626891952,-0.00827989756309843,-0.00112412947443452
0.13,1.06,1.01570678180337,-0.0166637850879912,0.000959202959547218
0.14,0.93,0.980639833067346,0.0193035561983446,5.94684082062769e-05
0.14,0.94,0.983206389460572,0.0169689644643438,-0.000172556193257358
0.14,0.95,0.982726706853244,0.0191200814991117,-0.00184404725265768
0.14,0.96,0.983055285088645,0.0201492212063069,-0.00320182540420117
0.14,0.97,0.999163550127169,-0.00268275017542357,0.00352182830260172
0.14,0.98,1.0022356862812,-0.00594408848497145,0.00371097717647282
0.14,0.99,1.00757488681324,-0.0126130955353507,0.00504073069205436
0.14,1,0.995658024271634,0.00654165528575952,-0.00219720819660938
0.14,1.01,0.999610081802931,0.00176891919989375,-0.00137657534788927
0.14,1.02,1.00699034170307,-0.00806874138518869,0.00108077656883845
0.14,1.03,1.00735954998448,-0.00743352079741865,7.63006627567405e-05
0.14,1.04,1.00920118266165,-0.00911692320086369,-8.19722975096537e-05
0.14,1.05,1.01335738989603,-0.0141865606885911,0.000831411881096923
0.14,1.06,1.01501057529093,-0.015651679103835,0.000643304762044229
0.15,0.94,0.984656267334958,0.0148433364007514,0.000503192049533311
0.15,0.95,0.981183225278829,0.0214872152070753,-0.002667701439155
