zeta,omega_ratio,solution_1,solution_2,solution_3
0.11,1.03,1.00268223332396,-0.000408374570926406,-0.00227152927408037
0.11,1.04,1.00607829917836,-0.00440956534472269,-0.00166644758116268
0.11,1.05,1.01262456082436,-0.0130876192300733,0.000465299508816861
0.12,0.94,0.984315852451315,0.015281706865681,0.000405239325147838
0.12,0.95,0.984912609744664,0.0159233204003361,-0.00083319230027853
0.12,0.96,0.985778563183415,0.0159978038354541,-0.00177368350059167
0.12,0.97,0.990031763547452,0.0110485978007082,-0.00107773441298713
0.12,0.98,0.998380353358716,-0.000163651251415023,0.0017858729684364
0.12,0.99,0.995755231312404,0.00512750311350569,-0.00088021289044443
0.12,1,0.997286953728221,0.00409619664894829,-0.00138067893465997
0.12,1.01,1.00022438682156,0.000866396733557095,-0.00108835864458636
0.12,1.02,1.00240942472052,-0.00114008714870496,-0.00126696294867744
0.12,1.03,1.01250483854553,-0.0151424709858716,0.00263996193395318
0.12,1.05,1.00976625487208,-0.00884381817351582,-0.000920193871491893
0.13,0.95,0.9869621595814,0.0128129237144568,0.000227655981846824
0.13,0.96,0.988983429706433,0.0111903335771736,-0.000171079760389032
0.13,0.97,0.987224254590708,0.0151918416787455,-0.00241346666670119
0.13,0.98,0.987153779433402,0.016691719063534,-0.00384292403101412
0.13,0.99,0.996699783908008,0.00372485630526524,-0.000422119213325308
0.13,1,0.993426715931341,0.00987804920856134,-0.00330229335943794
0.13,1.01,1.00043263446277,0.000570905895943281,-0.00100111613440938
0.13,1.02,0.998811967757412,0.00418397227568457,-0.00299356255671511
0.13,1.03,1.00734210598169,-0.00744841442530589,0.000108639995302465
0.13,1.04,1.01060937690308,-0.0112240595436336,0.000616969599849084
0.13,1.05,1.00984173818403,-0.00894320702721672,-0.000896288869823477
0.13,1.06,1.01354256249743,-0.0134313416654001,-0.000109020609039564
0.14,0.94,0.987695198354001,0.0102692448725127,0.00203835317727681
0.14,0.95,0.988989411498507,0.0097377854122313,0.00127554372210746
0.14,0.96,0.984063288277361,0.018545579313406,-0.0026061830745927
0.14,0.97,0.984827398869989,0.018831637622354,-0.00365640863502744
0.14,0.98,0.991683187146238,0.00987768574871085,-0.00155829764146902
0.14,0.99,1.00729021311508,-0.0121960902098277,0.00490839945408317
0.14,1.01,1.01041726141465,-0.0144180200173877,0.00400318331115376
0.14,1.02,1.01276036014494,-0.0167123355638407,0.00395435185159521
0.14,1.03,1.00534872275298,-0.00440907660716141,-0.000937316617923904
0.14,1.04,1.01494867795333,-0.0176826211683602,0.0027362281753148
0.14,1.05,1.01110458236376,-0.0108853398262567,-0.000216998361856665
0.14,1.06,1.01699137741071,-0.0186235995389231,0.00163442309876396
0.15,0.95,0.986278264049135,0.0138436681306081,-0.000119193094657906
0.15,0.96,0.982428281832203,0.0210389671850501,-0.0034645661174602
0.15,0.97,0.986718150429973,0.0159810865933113,-0.00269660859797605
0.15,0.98,0.986802329201485,0.017273344116755,-0.00407310100495917
0.15,0.99,0.986451365061559,0.0190350972996853,-0.00548393891491452
0.15,1,0.993715942399106,0.00946929939320222,-0.0031827710093217
0.15,1.01,0.996157353535782,0.00705089994623769,-0.00320583190795985
0.15,1.03,1.00233666878677,5.1422433190039e-05,-0.00238575941758864
0.15,1.04,1.00501973548076,-0.00279160744871227,-0.00222584296879964
0.15,1.05,1.01743245427192,-0.0203656860558612,0.00293547549502932
0.15,1.06,1.01091936073036,-0.00953151146522559,-0.00138564765904763
0.15,1.07,1.01779285862186,-0.0188153259267555,0.00102462830835125
0.16,0.93,0.982320846243531,0.0167638414732368,0.000918170678028075
0.16,0.95,0.990965043503734,0.00680589617376058,0.00223179970172611
0.16,0.96,0.988811965091356,0.0114288777433015,-0.000238158571131701
0.16,0.97,0.985304408841247,0.0180884427869699,-0.00339022267473612
0.16,0.98,0.986474849085865,0.0176978167081958,-0.00417009084066691
0.16,0.99,0.989794993566527,0.0140352986586133,-0.00382776939766019
0.16,1,1.00688446560108,-0.0103368243572828,0.00345483164654935
0.16,1.01,1.00559717231499,-0.00715500577919717,0.00156025687448109
0.16,1.02,1.0081004004473,-0.00977488964542634,0.00167686770807586
0.16,1.03,1.01078747294773,-0.0125858751893919,0.00180073251786866
0.16,1.04,1.00269825135424,0.000671454296451318,-0.00336741982779673
0.16,1.05,1.00845562312009,-0.0068595610779093,-0.00159381993273871
0.16,1.06,1.0113050145035,-0.0100572159213868,-0.00124559906224604
0.16,1.07,1.01466027700864,-0.0140739551941242,-0.00058416248682753
0.17,0.92,0.980129923522253,0.0184930091378117,0.00137998733623936
0.17,0.94,0.979760930354795,0.0222008265483362,-0.00195896167839257
0.17,0.95,0.979266305702113,0.0243844294075534,-0.00364799692733073
0.17,0.96,0.985500878017983,0.0164275085255024,-0.00192570354588679
0.17,0.97,0.981947286901916,0.0231345345396828,-0.0050791928962674
0.17,0.98,1.00356869867513,-0.00793728226557741,0.00437115831937391
0.17,0.99,0.995523261598769,0.00540459137887878,-0.000925328648110548
0.17,1,1.00707325225046,-0.0105865871251123,0.00351580644515233
0.17,1.01,1.01490223066624,-0.0210974702592483,0.00619766239876175
0.17,1.02,0.994951816007927,0.00997706827668449,-0.0049265069212284
0.17,1.03,1.01686640724015,-0.0217119729626345,0.00484789627268977
0.17,1.04,1.00433763603475,-0.0017454494959383,-0.00258990238292233
0.17,1.05,1.01097652946034,-0.0106720022335527,-0.000302283901315174
0.17,1.06,1.01727312241681,-0.0190549960974417,0.00178407500690344
0.17,1.08,1.01894177712812,-0.019462513534449,0.000522854835255974
0.18,0.93,0.975431854197526,0.0270405363738618,-0.00246952993530814
0.18,0.94,0.982696997349546,0.017682361366897,-0.000376558969583583
0.18,0.95,0.995395109204222,0.0001030895979409,0.00450454288017177
0.18,0.96,0.989873863356089,0.00986252819065527,0.000266291660453618
0.18,0.98,1.00695280066205,-0.013070340515467,0.00612011682465899
0.18,1,0.988564604365803,0.0171535094187376,-0.00571564130745364
0.18,1.01,0.999009871258851,0.00269634041427046,-0.00170378708750804
