zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,power,test_FLAG
0.01,0.01,1.00110012109225,-0.0330904186052249,0.0319081460832976,8.5872757687847e-05,-0.00405449372562452,false
0.01,0.02,1.00108387659681,-0.0332058870856287,0.0319916002678715,0.000134139944676923,-0.00810376180779936,false
0.01,0.03,1.00142205603675,-0.0334766748616111,0.032000397692293,5.79369796472053e-05,-0.012143994330427,false
0.01,0.04,1.00122778499497,-0.0330773387399386,0.0316268967783531,0.000226378538896472,-0.0161723125256428,false
0.01,0.05,1.00211778039508,-0.0338473027559736,0.0317642546603281,-3.10483541452685e-05,-0.0201840971280888,false
0.01,0.06,1.00253144778598,-0.0350709512515565,0.0326236439876708,-8.04356476264266e-05,-0.0241751174898275,false
0.01,0.07,1.00294141210816,-0.0351989384583089,0.0323518314768793,-9.06201202702598e-05,-0.0281427520625184,false
0.01,0.08,1.00355715132803,-0.0362558910186083,0.0328694383157402,-0.000167012876879633,-0.032081967447061,false
0.01,0.09,1.00422197491751,-0.0370217431623934,0.0330384995513493,-0.000235058749288869,-0.0359887948466506,false
0.01,0.1,1.00542724254937,-0.0387736841252017,0.033853116179881,-0.000503020160904224,-0.0398577511674449,false
0.01,0.11,1.00664381942861,-0.0401772814778685,0.0342792788183526,-0.000742193182930654,-0.0436842953642455,false
0.01,0.12,1.00776180762838,-0.0415726632636198,0.0347201961653171,-0.000905737788272592,-0.047462627552575,false
0.01,0.13,1.00894102681333,-0.0433565780324858,0.0354798587767627,-0.00106071341515219,-0.0511864905768011,false
0.01,0.14,1.15626903951018e-06,1.0096243336099e-07,4.58526644529226e-07,1.00000191862154,-0.0120462795776306,false
0.01,0.15,3.36628959177945e-06,1.07572681283513e-05,5.51900108313817e-06,0.999992156033865,-0.0439021604381632,false
0.01,0.16,0.0646464317116752,-0.0389529807160718,0.56842078036764,0.405969373385683,-0.0939631735234917,false
0.01,0.17,0.0659412441901428,-0.0415858405823749,0.703891879907942,0.271828389125531,-0.0909628139149778,false
0.01,0.18,0.0172389738009961,0.00836513918001767,0.926286193720983,0.0481730089830777,-0.0779545561626657,false
0.01,0.19,6.05316107335654e-08,1.75563963426705e-08,0.999999331643773,4.78745179023718e-06,-0.0381570233806599,false
