zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,power,test_FLAG
0.01,0.01,1.00020377055709,-0.0462941268178509,0.0447468846280506,-0.00617791854181571,0.00752635735065602,-0.00375536429745923,false
0.01,0.02,1.00034143810126,-0.0451116466996274,0.0430851679745526,-0.00514942383649266,0.00683934260135699,-0.00750875583480607,false
0.01,0.03,1.00062591405937,-0.047238684378298,0.0450206250859731,-0.00613387365817453,0.00773102933325499,-0.0112450882580718,false
0.01,0.04,1.00100093984528,-0.0477301700434333,0.04523341770627,-0.00624752641244765,0.00774834218872909,-0.0149679292086101,false
0.01,0.05,1.00153645680747,-0.0480874731098704,0.045439268943812,-0.0064990640717842,0.00761576379192644,-0.0186688613985309,false
0.01,0.06,1.00216744288774,-0.0490048315666211,0.0460087219800346,-0.00686415364787618,0.00769776124535145,-0.0223461937329508,false
0.01,0.07,1.00291264522789,-0.0498617117528355,0.046363470279278,-0.00708456935056534,0.0076750799539011,-0.0259928321868772,false
0.01,0.08,1.00374610123486,-0.051296691277673,0.0470024174161393,-0.00732709360999736,0.0078802019125071,-0.029601831153449,false
0.01,0.09,1.00477430028419,-0.0527976359478775,0.047787226168737,-0.00776299340406961,0.00800402821732775,-0.0331670574393512,false
0.01,0.1,1.00595066649182,-0.0545009894907642,0.0485794641993258,-0.00815905074510044,0.00813482704994802,-0.0366806513071425,false
0.01,0.11,0.223481482355442,0.237487718680845,0.25291463565632,0.540319616044014,-0.600730106548324,-0.0776108422033908,false
0.01,0.12,0.0173641929043537,0.0511557604099282,0.00014256576179159,0.372049175404628,0.559446592724365,-0.068542802960922,false
0.01,0.13,0.0141997023708366,0.0533718600697901,-0.0172257729484281,0.742217480692165,0.207568364817002,-0.0642915470743693,false
0.01,0.14,2.19115277858216e-06,-3.09415440510457e-07,1.30940596221359e-06,1.00000163955297,3.34576367894701e-06,-0.0120461090352357,false
0.01,0.15,-3.96324431446114e-06,9.62626170326616e-06,-5.27360579539939e-06,0.999996677643174,-4.48612038390891e-06,-0.043901844462359,false
0.01,0.16,0.3644991888928,0.341926238180509,0.669030334318053,-0.260665216813796,-0.191051969596096,-0.0919481358556769,false
0.01,0.17,0.373374393739001,0.283990278850096,0.811701152501117,-0.401407704658492,-0.128090705493686,-0.0808026139110088,false
0.01,0.18,-0.000580946133305584,1.15386881226457,0.000173802063024062,0.000252574489163493,-0.2035276171546,-0.0738348090334072,false
0.01,0.19,-3.19912963945569e-07,-3.63293785799413e-07,0.999999714810239,4.68960956353512e-06,-3.55105009675304e-07,-0.0381567698034985,false
0.01,0.2,0.329254822368857,0.356538160093773,0.626409438805498,-0.267963986275233,-0.0442322894740032,-0.117405805486096,false
0.01,0.21,4.46492827923662e-06,1.14444387541588,-1.30178604915947e-06,-1.32880166019053e-06,-0.15084223729291,-0.0715519243474341,false
0.01,0.22,0.0065213038169449,1.09384717253852,0.0360312067276575,-0.0118186715711136,-0.124580807862425,-0.0800199401508821,false
0.01,0.23,-0.226545964512727,0.953048011223847,0.178659280324547,0.14690027408618,-0.0520225344101098,-0.0550711047352662,false
0.01,0.24,-0.203312475580414,0.955815643780864,0.179411919028623,0.120551667526034,-0.0524307961226212,-0.0634485573469706,false
0.01,0.25,0.307935584666642,0.963407457943036,-0.176585185327521,-0.0704383446151144,-0.0388742711020179,-0.0734782082061063,false
0.01,0.26,-0.0889505527292613,0.992733193019588,0.0841955413434669,0.0599927105168146,-0.0479461524688379,-0.076986783352978,false
0.01,0.27,0.316832849466474,0.99826140761957,-0.241883463080616,-0.065666069444504,-0.0327471571622345,-0.0525165605658381,false
0.01,0.28,0.366183811688625,0.952516594806461,-0.260133244618514,-0.0593621605258962,-0.0242334974530141,-0.0523764157697615,false
0.01,0.29,0.368404181169763,0.941691573387978,-0.248803996632213,-0.0539909518002311,-0.0166813469153948,-0.0615347758886652,false
0.01,0.3,0.323628514194892,0.942739898033259,-0.202750060713106,-0.047257933955344,-0.0163601729299712,-0.0731472950895398,false
0.01,0.31,0.278284822901923,0.940746459660805,-0.163352334413848,-0.0403552764037877,-0.0153201040512807,-0.083076146722524,false
0.01,0.32,0.174711120340042,0.93172712912017,-0.0709822868283055,-0.0193767281674685,-0.0160680228126929,-0.087669833764214,false
0.01,0.33,0.000534003924807861,0.998485805526789,0.000280623976907225,0.000110127806599716,0.000611810516069517,-0.00362015217858056,false
0.01,0.34,1.20574051865687,-0.30503622158158,0.129908983787554,-0.025995037516879,-0.00461809415112997,-0.0566690429354199,false
0.01,0.35,1.21645667040238,-0.319254748948547,0.113853656036614,-0.0336707339645758,-0.0105054521753382,-0.051324797517771,false
0.01,0.36,-0.0369525686003876,0.968039185105683,-0.0116164064849922,-0.00513194683991711,0.00511348856282312,-0.0710339628716369,false
0.01,0.37,1.21282926561101,-0.302473629438083,0.0938061746048934,-0.0170388426582864,-0.0147050452944826,-0.0473491345469977,false
0.01,0.38,1.21455253610534,-0.30363371067567,0.0949899791193384,-0.0180983445148333,-0.0130683834600592,-0.0445323077291446,false
0.01,0.39,1.21056129377017,-0.291044603435823,0.0818402448451676,-0.00907542675782368,-0.0150349806003325,-0.0425886859530205,false
0.01,0.4,1.2114459473577,-0.289943387515535,0.0797288957554998,-0.00725365994450336,-0.014644694751563,-0.0397253113218938,false
0.01,0.41,1.21153968729147,-0.288050357853765,0.0776798773386029,-0.00609460393824002,-0.0141218275668562,-0.0376602267469466,false
0.01,0.42,1.21075473332005,-0.280241185128175,0.0752065594619924,-0.00115905568728459,-0.0125471307163936,-0.0369582702516255,false
0.01,0.43,1.19457979237653,-0.290229875841723,0.0614115893623114,-7.26882960349999e-05,-0.0110746092098328,-0.0394946001138122,false
0.01,0.44,1.1946634852303,-0.283322945402054,0.0581318942490213,0.00315010933393473,-0.00956810856797929,-0.0395579600372954,false
0.01,0.45,1.19512840160603,-0.260235574937707,0.0618203752987935,0.010059446790961,-0.00677180095229826,-0.0378050786487814,false
0.01,0.46,1.18680983706652,-0.245818160201054,0.0459491087663488,0.0152356578884636,-0.00217472884711966,-0.0458722530014192,false
0.01,0.47,1.19163132375198,-0.251331474744651,0.0508574040994358,0.0132233556215798,-0.00437938668768463,-0.0385234252217515,false
0.01,0.48,1.18589907044551,-0.241786944640328,0.0462377991870471,0.0133127318760746,-0.00366136754264879,-0.0402363186787374,false
0.01,0.49,1.18559298207307,-0.235584865179877,0.0352703862303067,0.0157819199710318,-0.00105885412858524,-0.0413960255780923,false
0.01,0.5,1.18084516991902,-0.224724629921232,0.0222110016838046,0.0150797417118937,0.000950037830170809,-0.0454940887740872,false
0.01,0.51,1.18503152845258,-0.230602058090902,0.0310863587533223,0.0155272941847975,-0.00104173086985247,-0.0378771623977207,false
0.01,0.52,1.18132242499232,-0.221875436588853,0.0246226764024456,0.0157484466912762,0.000183338541356786,-0.0379109162924506,false
0.01,0.53,1.17678851376662,-0.207435315268923,0.0135026503140582,0.0147834142601179,0.0023223250412352,-0.0393820589639767,false
